Location,Approximate Square Footage,Use
North America:,,
"West Tower,345 Park Avenue San Jose, CA 95110, USA","391,000","Research, product development, sales, marketing and administration"
"East Tower,321 Park Avenue San Jose,CA 95110,USA","325,000","Research, product development, sales, marketing and administration"
"Almaden Tower,151 Almaden Boulevard San Jose, CA 95110, USA","273,000","Product development, sales and administration"
"601and 625 Townsend Street San Francisco, CA 94103,USA","346,000 (1)","Research, product development, sales, marketing and administration"
"801N.34th Street-Waterfront Seattle,WA 98103,USA","182,000 (2)","Product development, sales,technical support and administration"
"410 Townsend Street San Francisco, CA 94107, USA","47,000","Research, product development, sales, marketing and administration"
"3900 Adobe Way Lehi,UT 84043,USA","257,000","Research, product development, sales, marketing and administration"
"7930 Jones Branch Drive McLean,VA 22102, USA","34,000 (3)",Sales and marketing
"1540 Broadway New York,NY 10036,USA","55,000",Sales and marketing
"343 Preston Street Ottawa, Ontario K1S 5N4, Canada","122,000 (4)","Research, product development, sales, marketing and"
"25100 NW Evergreen Rd Hillsboro,OR 97124,USA","85,000",administration Data center
"India: Adobe Towers,1-1A, Sector 25A",,
"Tech Boulevard,Plot #6, Sector 127 Expressway, Noida, U.P.","107,000",Product development and administration
"Plot A3, A4 & A5, Sector 125 Noida, U.P.","63,000",Product development and administration
"Salapuria Infinity #5 and #6 Bannerghatta Road,",,"185,000 (5）Research, product development and administration"
"Bangalore Prestige Platina Technology Park Building 1,Block A Bangalore",,"250,000 (5）Research,product development and administration"
Japan: Gate City Osaki East Tower 1-11 Osaki,"56,000","Product development, sales and marketing"
"Shinagawa-ku, Tokyo Romania:",,
"26 Z Timisoara Blvd, Anchor Plaza Lujerului, Sector 6 Bucharest UK:","71,000",Research and product development
"Market House Providence Place Maidenhead,Berkshire,SL68AD","49,000","Product development, sales,marketing and administration"
Germany: Grosse Elbstrasse 27,"36,000",Research and product development
Hamburg Georg-Brauchle-Ring No. 56/58,"39,000","Sales, marketing and administration"
Munich,,
France: 18 rue Roger Simon-Barboux,"28,000","Product development, sales and administration"
