,,Amortized Cost,Unrealized Gains,Unrealized Losses,Estimated Fair Value
Current assets:,Current assets:,,,,
Cash..,Cash..,"$ 348,283",$,$,"$ 348,283"
Cash equivalents:,Cash equivalents:,,,,
Money market mutual funds,,"705,978",,,"705,978"
Time deposits,,"63,139",,,"63,139"
Total cash equivalents.,,"769,117",,,"769,117"
Total cash and cash equivalents..,,"1,117,400",,,"1,117,400"
Short-term fixed income securities:,Short-term fixed income securities:,,,,
Corporate bonds and commercial paper.,,"1,514,632","5,253",(509),"1,519,376"
Foreign government securities .,,"4,499",12,,"4,511"
Municipal securities,,"174,775",438,(12),"175,201"
U.S.agency securities .,,"497,154","1,295",(64),"498,385"
U.S.Treasury securities.,,"423,075","1,080",(28),"424,127"
Subtotal,,"2,614,135","8,078",(613),"2,621,600"
Marketable equity securities,,153,338,一,491
Total short-term investments..,,"2,614,288","8,416",(613),"2,622,091"
"Total cash, cash equivalents and short-term investments.",,"$ 3,731,688","$ 8,416",$ (613),"$ 3,739,491"
