,Digital Media,Digital Media,Digital Marketing,Digital Marketing,Print and Publishing,Print and Publishing,Total,Total,,,,,,
Fiscal 2015,$,"3,095,160",$,"1,508,858",$,"191,493 $",,"4,795,511",,,,,,
Revenue,$,"3,095,160",$,"1,508,858",$,"191,493 $",,"4,795,511",,,,,,
Cost of revenue.,,"210,587",,"525,309",,"8,421",$,"744,317",,,,,,
Gross profit.,,"2,884,573",,"525,309",,"8,421",$,"744,317",,,,,,
,$,93%,$,"983,549 65%",$,"183,072 96%",,"4,051,194 84%",,,,,,
Gross profit as a percentage of revenue.. Fiscal 2014,$,,,,$,"183,072 96%",,"4,051,194 84%",,,,,,
Revenue.,$,"2,603,179",$,"1,355,216",$,"188,670",$,"4,147,065",,,,,,
,$,"2,603,179",$,"1,355,216",$,"188,670",$,"4,147,065",,,,,,
Cost of revenue.,$,"148,958 2,454,221",$,"463,772 891,444",$,"9,350 179,320",$,"622,080 3,524,985",,,,,,
Gross profit.,$,,,,,,,,,,,,,
Gross profit as a percentage of revenue..,,94%,$,"463,772 891,444",$,"9,350 179,320",$,"622,080 3,524,985",,66%,,95%,,85%
Fiscal 2013,,94%,,,,,,,,,,,,
Revenue,$,"2,625,913 170,788",$,"1,228,868",$,"200,459 10,965",$,"4,055,240 586,557",,66%,,95%,,85%
,$,"2,625,913 170,788",$,"1,228,868",$,"200,459 10,965",$,"4,055,240 586,557",,,,,,
Cost of revenue.,$,"2,455,125",$,"404,804",$,"189,494",$,"3,468,683",,,,,,
Gross profit.,$,,,"824,064",$,"189,494",$,"3,468,683",,,,,,
Gross profit as a percentage of revenue,,93%,,67%,,95%,,86%,,,,,,
