Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,,,Fiscal Years,,,,,,,
Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,2015,2014,2013,2012,2011,,,,,
Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,,,,,,,,,,
Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,"$ 4,795,511","$ 4,147,065","$ 4,055,240","$ 4,403,677","$4,216,258",,,,,
Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,"$ 4,051,194","$3,524,985","$3,468,683","$3,919,895","$3,778,385",,,,,
Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,come taxes...,come taxes...,,,,"$873,781","$361,376","$ 356,141","$1,118,794","$1,035,230"
Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,,"$ 629,551","$ 268,395","$ 289,985","$ 832,775","$832,847",,,,
Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,,,,,,,,,,
Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,$ 1.26,$ 0.54,$ 0.58,$ 1.68,$ 1.67,,,,,
Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,$ 1.24,$ 0.53,$ 0.56,$ 1.66,$ 1.65,,,,,
