"Interest and other income (expense), net",2015,2014,2013
Interest income,"$ 28,759","$ 21,355","$ 21,887"
Foreign exchange gains (losses),"(20,130)","(18,840)","(21,001)"
Realized gains on fixed income investment,"3,309","4,024","4,090"
Realized losses on fixed income investment,(354),(97),"(1,077)"
Other,"22,325",825,"1,042"
"Interest and other income (expense), net","$ 33,909","$ 7,267","$ 4,941"
Interest expense,"(64,184)","(59,732)","(67,508)"
"Investment gains (losses), net",,,
Realized investment gains,"$ 2,760","$ 1,298","$ 1,783"
Unrealized investment gains,,912,"1,251"
Realized investment losses,(206),"(1,054)","(7,049)"
Unrealized investment losses,"(1,593)",,
"Investment gains (losses), net",$ 961,"$ 1,156","$ (4,015)"
"Non-operating income (expense), net","(29,314)","(51,309)","(66,582)"
