"Computed “expected"" tax expense",2015,2014,2013
"Computed “expected"" tax expense","$ 305,824","$ 126,481 $","124,649"
"State tax expense, net of federal benefit","(8,316)","(4,411)","(6,304)"
Tax credits.,"(25,967)","(1,166)","(29,087)"
Differences between statutory rate and foreign effective tax rate,"(90,063)","(33,769)","(39,678)"
Change in deferred tax asset valuation allowance,,,514
Stock-based compensation (net of tax deduction).,"9,623","8,688","9,783"
Resolution of income tax examinations..,"(17,595)","(1,896)","(8,421)"
Domestic manufacturing deduction benefit,"(16,800)","(6,272)","(2,929)"
Tax charge for licensing acquired company technology to foreign subsidiaries...,"80,015",一,"18,935"
"Other, net .","7,509","5,326","(1,306)"
Provision for income taxes.,"$ 244,230","$ 92,981 $","66,156"
