Fiscal Years,2015,2014,2013,2012,2011
Revenue,"$ 4,795,511","$ 4,147,065","$ 4,055,240","$ 4,403,677","$4,216,258"
Gross profit,"$ 4,051,194","$ 3,524,985","$ 3,468,683","$ 3,919,895","$3,778,385"
Income before income taxes,"$ 873,781","$ 361,376","$ 356,141","$ 1,118,794","$1,035,230"
Net income,"$ 629,551","$ 268,395","$ 289,985","$ 832,775","$832,847"
Net income per share:,Basic,$ 1.26,$ 0.54,$ 0.58,$ 1.68
Net income per share:,Diluted,$ 1.24,$ 0.53,$ 0.56,$ 1.66
Shares used to compute basic net income per share...,"498,764","497,867","501,372","494,731","497,469"
Shares used to compute diluted net income per share...,"507,164","508,480","513,476","502,721","503,921"
Cash dividends declared per common share...,$ —,$ —,$ —,$ —,$ —
Financial position:,(1),"Cash, cash equivalents and short-term investments...","$ 3,988,084","$ 3,739,491","$ 3,173,752"
Financial position:,(1),Working capital...,"$ 2,608,336","$ 2,107,893","$ 2,520,281"
Financial position:,(1),Total assets...,"$ 11,726,472","$ 10,785,829","$ 10,380,298"
Financial position:,(1),"Debt and capital lease obligations, non-current...","$ 1,907,231","$ 911,086","$ 1,499,297"
Financial position:,(1),Stockholders' equity...,"$ 7,001,580","$ 6,775,905","$ 6,724,634"
Additional data:,Worldwide employees...,"13,893","12,499","11,847","11,144"
