Location,Approximate Square Footage,Use
"West Tower, 345 Park Avenue San Jose, CA 95110, USA",391000,"Research, product development, sales, marketing and administration"
"East Tower, 321 Park Avenue San Jose, CA 95110, USA",325000,"Research, product development, sales, marketing and administration"
"Almaden Tower, 151 Almaden Boulevard San Jose, CA 95110, USA",273000,"Product development, sales and administration"
"601 and 625 Townsend Street San Francisco, CA 94103, USA",346000,"Research, product development, sales, marketing and administration"
"801 N. 34th Street-Waterfront Seattle, WA 98103, USA",182000,"Product development, sales, technical support and administration"
"410 Townsend Street San Francisco, CA 94107, USA",47000,"Research, product development, sales, marketing and administration"
"3900 Adobe Way Lehi, UT 84043, USA",257000,"Research, product development, sales, marketing and administration"
"7930 Jones Branch Drive McLean, VA 22102, USA",34000,Sales and marketing
"1540 Broadway New York, NY 10036, USA",55000,Sales and marketing
"343 Preston Street Ottawa, Ontario K1S 5N4, Canada",122000,"Research, product development, sales, marketing and administration"
"25100 NW Evergreen Rd Hillsboro, OR 97124, USA",85000,Data center
"India: Adobe Towers, 1-1A, Sector 25A Noida, U.P.",191000,Product development and administration
