Signature,Title,Date
/s/JOHNE.WARNOCK,Chairman of the Board of Directors,"January 19,2016"
John E.Warnock,Chairman of the Board of Directors,
/s/CHARLES M. GESCHKE,Chairman of the Board of Directors,"January 19,2016"
Charles M.Geschke,Chairman of the Board of Directors,
/s/ SHANTANU NARAYEN Shantanu Narayen,"Director, President and Chief Executive Officer (Principal Executive Officer)","January 19, 2016"
,"Director, President and Chief Executive Officer (Principal Executive Officer)",
/s/MARK GARRETT,Executive Vice President and Chief Financial Officer (Principal Financial Officer),"January 19, 2016"
Mark Garrett,Executive Vice President and Chief Financial Officer (Principal Financial Officer),
/s/RICHARD T.ROWLEY,"Vice President, Corporate Controller and Chief","January 19,2016"
Richard T.Rowley,"Vice President, Corporate Controller and Chief",
/s/AMY BANSE,Accounting Officer Director,"January 19,2016"
Amy Banse,Accounting Officer Director,
/s/ KELLY BARLOW,Director,"January 19,2016"
Kelly Barlow,Director,
