Years Ended,"November 27, 2015","November 28, 2014",Increase/(Decrease),"November 29, 2013"
Net income,$,"629,551",$,"268,395,$,289,985"
"Other comprehensive income (loss), net of taxes:",,,,
Available-for-sale securities:,,,,
Unrealized gains / losses on available-for-sale securities,"(9,226)","2,315","(2,185)",
Reclassification adjustment for recognized gains / losses on available-for-sale securities,"(2,955)","(3,928)","(3,013)",
Net increase (decrease) from available-for-sale securities,"(12,181)","(1,613)","(5,198)",
Derivatives designated as hedging instruments:,,,,
Unrealized gains / losses on derivative instruments,"29,795","41,993","34,677",
Reclassification adjustment for recognized gains / losses on derivative instruments,"(55,535)","(18,705)","(35,914)",
Net increase (decrease) from derivatives designated as hedging instruments,"(25,740)","23,288","(1,237)",
Foreign currency translation adjustments,"(123,065)","(75,872)","21,826",
"Other comprehensive income (loss), net of taxes","(160,986)","(54,197)","15,391",
"Total comprehensive income, net of taxes",$,"468,565",$,"214,198,$,305,376"
