Common Stock,Common Stock Amount,Additional Paid-In Capital,Retained Earnings,Accumulated Other Comprehensive Income (Loss),Treasury Stock,Treasury Stock Amount,Total
"Balances at November 30, 2012","600,834",$ 61,"$ 3,038,665","$ 7,003,003","$ 30,712","(106,702)","$3,407,259,$ 6,665,182"
Net income,,,,"289,985",,,",289,985"
"Other comprehensive income, net of taxes",,,,,"15,391",,",15,391"
Re-issuance of treasury stock under stock compensation plans,,,,"(364,024)",,"23,732","864,800,500,776"
Tax benefit from employee stock plans,,,"25,290",,,,",25,290"
Purchase of treasury stock,,,,,,"(21,603)","(1,100,000),(1,100,000)"
Equity awards assumed for acquisition,,,"1,160",,,,",1,160"
Stock-based compensation,,,"327,581",,,,",327,581"
Value of shares in deferred compensation plan,,,,,,,",(731)"
"Balances at November 29, 2013","600,834",$ 61,"$ 3,392,696","$ 6,928,964","$ 46,103","(104,573)","$3,643,190,$ 6,724,634"
Net income,,,,"268,395",,,",268,395"
"Other comprehensive income, net of taxes",,,,,"(54,197)",,",(54,197)"
Re-issuance of treasury stock under stock compensation plans,,,,"(273,065)",,"12,075","327,231,54,166"
Tax benefit from employee stock plans,,,"53,225",,,,",53,225"
Purchase of treasury stock,,,,,,"(10,852)","(600,000),(600,000)"
Equity awards assumed for acquisition,,,21,,,,",21"
Stock-based compensation,,,"332,553",,,,",332,553"
Value of shares in deferred compensation plan,,,,,,,",(2,892)"
"Balances at November 28, 2014","600,834",$ 61,"$ 3,778,495","$ 6,924,294","$ (8,094)","(103,350)","$3,918,851,$ 6,775,905"
Net income,,,,"629,551",,,",629,551"
"Other comprehensive income, net of taxes",,,,,"(160,986)",,",(160,986)"
Re-issuance of treasury stock under stock compensation plans,,,,"(300,414)",,"8,429","278,311,(22,103)"
Tax benefit from employee stock plans,,,"68,133",,,,",68,133"
Purchase of treasury stock,,,,,,"(8,104)","(625,000),(625,000)"
Equity awards assumed for acquisition,,,677,,,,",677"
Stock-based compensation,,,"337,578",,,,",337,578"
Value of shares in deferred compensation plan,,,,,,,",(2,175)"
"Balances at November 27, 2015","600,834",$ 61,"$ 4,184,883","$ 7,253,431","$ (169,080)","(103,025)","$4,267,715,$ 7,001,580"
