"2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325",2014,2013,,,,
"2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325",,,,,,
"2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","$ 28,759","$ 28,759","$ 28,759","$ 21,355","$ 21,887",
"2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","(20,130)","(20,130)","(20,130)","(18,840)","(21,001)",
"2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325",,,"3,309","3,309","4,024","4,090"
"2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325",(354),(354),(354),(97),"(1,077)",
"2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","2015Interest and other income (expense), net:Interest income. $ 28,759Foreign exchange gains (losses) (20,130)Realized gains on fixed income investment. 3,309Realized losses on fixed income investment. (354)Other.. 22,325","22,325","22,325","22,325",825,"1,042",
"Interest and other income (expense), net.Interest expenseInvestment gains (losses), net:Realized investment gains..Unrealized investment gainsRealized investment losses..Unrealized investment lossesInvestment gains (losses), net.Non-operating income (expense), n....",,,,,,,,,
"Interest and other income (expense), net.Interest expenseInvestment gains (losses), net:Realized investment gains..Unrealized investment gainsRealized investment losses..Unrealized investment lossesInvestment gains (losses), net.Non-operating income (expense), n....","$ 33,909","$ 33,909","$ 33,909","$ 7,267","$ 4,941",,,,
"Interest and other income (expense), net.Interest expenseInvestment gains (losses), net:Realized investment gains..Unrealized investment gainsRealized investment losses..Unrealized investment lossesInvestment gains (losses), net.Non-operating income (expense), n....","$ (64,184)","$ (64,184)","$ (64,184)","$ (59,732)","$ (67,508)",,,,
"Interest and other income (expense), net.Interest expenseInvestment gains (losses), net:Realized investment gains..Unrealized investment gainsRealized investment losses..Unrealized investment lossesInvestment gains (losses), net.Non-operating income (expense), n....","$ 2,760","$ 2,760","$ 2,760",,,,,,
"Interest and other income (expense), net.Interest expenseInvestment gains (losses), net:Realized investment gains..Unrealized investment gainsRealized investment losses..Unrealized investment lossesInvestment gains (losses), net.Non-operating income (expense), n....","$ 2,760","$ 2,760","$ 2,760","1,298","$ 1,783",,,,
"Interest and other income (expense), net.Interest expenseInvestment gains (losses), net:Realized investment gains..Unrealized investment gainsRealized investment losses..Unrealized investment lossesInvestment gains (losses), net.Non-operating income (expense), n....",,,,912,"1,251",,,,
"Interest and other income (expense), net.Interest expenseInvestment gains (losses), net:Realized investment gains..Unrealized investment gainsRealized investment losses..Unrealized investment lossesInvestment gains (losses), net.Non-operating income (expense), n....",(206),(206),(206),"(1,054)","(7,049)",,,,
"Interest and other income (expense), net.Interest expenseInvestment gains (losses), net:Realized investment gains..Unrealized investment gainsRealized investment losses..Unrealized investment lossesInvestment gains (losses), net.Non-operating income (expense), n....","(1,593)","(1,593)","(1,593)",,一,,,,
