Amortized Cost,Unrealized Gains,Unrealized Losses,Estimated Fair Value
Cash,352371,,","
Cash equivalents:,,,
Money market mutual funds,482479,,","
Municipal securities,1850,,1
Time deposits,13461,,","
U.S. Treasury securities,26400,,","
Total cash equivalents,524190,,1
Total cash and cash equivalents,876561,,1
Short-term fixed income securities:,,,
Corporate bonds and commercial paper,1890253,2273,"5612,1886914"
Asset-backed securities,83449,11,"146,83314"
Foreign government securities,1276,,"8,1268"
Municipal securities,137280,101,"49,137332"
U.S. agency securities,130397,85,"14,130468"
U.S. Treasury securities,873400,101,"1273,872228"
Total short-term investments,3116055,2571,"7102,3111524"
Total cash, cash equivalents and short-term investments,,",-7103,3988084"
