Current:,,,2015,2014,2013
United States federal,"$ 204,834","$ 26,822","$ (53,985)",,
Foreign,"52,125","51,684","65,609",,
State and local,"(14,975)","4,713","3,317",,
Total current,"241,984","83,219","14,941",,
Deferred:,,,2015,2014,2013
United States federal,"(31,011)","(24,090)","24,139",,
Foreign,"(9,368)","(12,895)","(6,215)",,
State and local,"(25,511)","(6,476)","(7,328)",,
Total deferred,"(65,890)","(43,461)","10,596",,
Tax expense attributable to employee stock plans,"68,136","53,223","40,619",,
Provision for income taxes,"$ 244,230","$ 92,981","$ 66,156",,
