Fiscal 2015,Digital Media,Digital Marketing,Print and Publishing,Total
Revenue,"$ 3,095,160","$ 1,508,858","$ 191,493","$ 4,795,511"
Cost of revenue,"210,587","525,309","8,421","744,317"
Gross profit,"2,884,573","983,549","183,072","4,051,194"
Gross profit as a percentage of revenue,93%,65%,96%,84%
Fiscal 2014,Digital Media,Digital Marketing,Print and Publishing,Total
Revenue,"$ 2,603,179","$ 1,355,216","$ 188,670","$ 4,147,065"
Cost of revenue,"148,958","463,772","9,350","622,080"
Gross profit,"2,454,221","891,444","179,320","3,524,985"
Gross profit as a percentage of revenue,94%,66%,95%,85%
Fiscal 2013,Digital Media,Digital Marketing,Print and Publishing,Total
Revenue,"$ 2,625,913","$ 1,228,868","$ 200,459","$ 4,055,240"
Cost of revenue,"170,788","404,804","10,965","586,557"
Gross profit,"2,455,125","824,064","189,494","3,468,683"
Gross profit as a percentage of revenue,93%,67%,95%,86%
