Amortized Cost,Unrealized Gains,Unrealized Losses,Estimated Fair Value
Cash,348283,,","
Cash equivalents:,,,
Money market mutual funds,705978,,","
Time deposits,63139,,","
Total cash equivalents,,,769117
Total cash and cash equivalents,,,1117400
Short-term fixed income securities:,,,
Corporate bonds and commercial paper,1514632,5253,"(509),1519376"
Foreign government securities,4499,12,",4511"
Municipal securities,174775,438,"(12),175201"
U.S. agency securities,497154,1295,"(64),498385"
U.S. Treasury securities,423075,1080,"(28),424127"
Subtotal,2614135,8078,"(613),2621600"
Marketable equity securities,153,338,",491"
Total short-term investments,2614288,8416,"(613),2622091"
Total cash, cash equivalents and short-term investments,3731688,"8416,(613),3739491"
