Computers and equipment,"$940,057","$ 940,057"
Furniture and fixtures,"$89,434","89,434"
,,
Server hardware under capital lease,,一
Capital projects in-progress,"$12,394","12,394"
Leasehold improvements,"$247,535","247,535"
Land,"$70,728","70,728"
Buildings,"$398,468","Buildings..Total..Less accumulated depreciation and amortizationProperty and equipment, net"
Total,"$1,758,616","Buildings..Total..Less accumulated depreciation and amortizationProperty and equipment, net"
Less accumulated depreciation and amortization,"$(971,195)","Buildings..Total..Less accumulated depreciation and amortizationProperty and equipment, net"
"Property and equipment, net","$787,421","Buildings..Total..Less accumulated depreciation and amortizationProperty and equipment, net"
2015,,"$ 855,218"
2014,,"82,385"
"$25,703","$68,652","25,703"
"$240,506","$106,283","240,506"
"$320,410","$1,699,157","320,410"
"$(914,034","$785,123","(914,034"
