,2015,2015,2015,2014,2014,2014
,Cost,Accumulated Amortization,Net,Cost,Accumulated Amortization,Net
Purchased technology..,"$ 199,053","$ (104,704)","$ 94,349","$ 405,208","$ (264,697)","$ 140,511"
Customer contracts and relationships ...,"$ 506,639","$ (204,578)","$ 302,061","$ 376,994","$ (143,330)","$ 233,664"
Trademarks.,"81,219","(41,175)","40,044","67,268","(36,516)","30,752"
Acquired rights to use technology.,"144,202","(100,278)","43,924","148,836","(86,258)","62,578"
Localization.,"1,500",(358),"1,142",549,(382),167
Other intangibles .,"36,280","(7,793)","28,487","3,163","(1,173)","1,990"
Total other intangible assets .,"$ 769,840","$ (354,182)","$ 415,658","$ 596,810","$ (267,659)","$ 329,151"
"Purchased and other intangible assets,net","$ 968,893","$ (458,886)","$ 510,007","$1,002,018","$(532,356)","$ 469,662"
