Current assets:Cash...,Current assets:Cash...,Current assets:Cash...,"AmortizedCost$ 352,371","AmortizedCost$ 352,371",UnrealizedGains,UnrealizedGains,UnrealizedLosses,EstimatedFairValue,,
Current assets:Cash...,Current assets:Cash...,Current assets:Cash...,"AmortizedCost$ 352,371","AmortizedCost$ 352,371",UnrealizedGains,UnrealizedGains,UnrealizedLosses,,,
Current assets:Cash...,Current assets:Cash...,Current assets:Cash...,"AmortizedCost$ 352,371","AmortizedCost$ 352,371","$ 352,371","$ 352,371",$,$,$,"$ 352,371"
Cash equivalents:Money market mutual funds,Cash equivalents:Money market mutual funds,Cash equivalents:Money market mutual funds,,,,,,,,
Cash equivalents:Money market mutual funds,Cash equivalents:Money market mutual funds,Cash equivalents:Money market mutual funds,,,,,,"482,479",,
Cash equivalents:Money market mutual funds,Cash equivalents:Money market mutual funds,Cash equivalents:Money market mutual funds,"482,479","482,479",,,,"482,479",,
"Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","1,850","1,850",,,(1),"1,849",,
"Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","13,461","13,461",,,,"13,461",,
"Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","26,400","26,400",,,,"26,400",,
"Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.",Total cash equivalents.,"524,190","524,190",,,①,"524,189",
"Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","876,561","876,561",,,(1,"876,560",,
"Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.",,,,,,,,
"Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","1,890,253","1,890,253","2,273","2,273","(5,612)","1,886,914",,
"Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","83,449","83,449",11,11,(146),"83,314",,
"Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","1,276","1,276",一,一,(8）,"1,268",,
"Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.",Municipal securities..,"137,280","137,280",101,101,(49),"137,332",
"Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.",U.S.agency securities,U.S.agency securities,"130,397","130,397",85,85,(14),"130,468"
"Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","Municipal securities .Time deposits U.S. Treasury securitiesTotal cash equivalents.Total cash and cash equivalents .Short-term fixed income securities:Corporate bonds and commercial paper.Asset-backed securities.Foreign government securities Municipal securities..U.S.agency securities U.S.Treasury securities .Total short-term investments.Total cash, cash equivalents and short-term investments.","873,400","873,400",101,101,"(1,273)","872,228",,
