Exhibit Number,Exhibit Description,Form,Filing Date,Exhibit Number,SEC File No.,Filing Date
3.1,Restated Certificate of Incorporation of Adobe Systems Incorporated,8-K,4/26/11,3.3,000-15175,
3.2,Amended and Restated Bylaws,8-K,10/30/12,3.1,000-15175,
4.1,Specimen Common Stock Certificate,10-Q,6/25/14,4.1,000-15175,
4.2,Form of Indenture,S-3,1/15/10,4.1,333-164378,
4.3,"Form of Global Note for Adobe Systems Incorporated's 4.750% Notes due 2020, together with Form of Officer's Certificate setting forth the terms of the Notes",8-K,1/26/10,4.1,000-15175,
4.4,"Form of Global Note for Adobe Systems Incorporated's 3.250% Notes due 2025, together with Form of Officer's Certificate setting forth the terms of the Notes",8-K,1/26/2015,4.1,000-15175,
10.1A,Amended 1994 Performance and Restricted Stock Plan*,10-Q,4/9/10,10.1,000-15175,
10.1B,Form of Restricted Stock Agreement used in connection with the Amended 1994 Performance and Restricted Stock Plan*,10-K,1/23/09,10.3,000-15175,
10.1C,Form of Restricted Stock Unit Agreement used in connection with the Amended 1994 Performance and Restricted Stock Plan*,10-K,1/26/12,10.13,000-15175,
10.2A,"1996 Outside Directors Stock Option Plan, as amended*",10-Q,4/12/06,10.6,000-15175,
10.2B,Forms of Stock Option Agreements used in connection with the 1996 Outside Directors Stock Option Plan*,S-8,6/16/00,4.8,333-39524,
10.3,"1997 Employee Stock Purchase Plan, as amended*",10-Q,6/24/15,10.3,000-15175,
10.4A,"2003 Equity Incentive Plan, as amended*",8-K,4/10/15,10.1,000-15175,
10.4B,Form of Stock Option Agreement used in connection with the 2003 Equity Incentive Plan*,8-K,12/20/10,99.4,000-15175,
10.4C,Form of RSU Grant Notice and Award Agreement pursuant to the 2003 Equity Incentive Plan*,8-K,1/28/15,10.6,000-15175,
