,,,,,Derivatives (assets)/ liabilities,Derivatives (assets)/ liabilities,Derivatives (assets)/ liabilities
,Interestbearing liabilities,Interestbearing liabilities,Interestbearing liabilities,Interestbearing liabilities,,,
2021,Bank,Notes and,Lease,Bank overdraft and short-term,,Cross currency and interest,
US$M Atthe beginning of thefinancial year,loans,"debentures 21,045","liabilities 3,443",borrowings,Other 68,rateswaps (433),Total
Proceeds from interest bearing liabilities,"2,492",,-,- 一,64,-,568
Setements of debt related instruments,504,- -,-,,-,167,167
Repayment of interest bearing liabilities,-,"(6,888)",(770),,-,-,"(8,395)"
Change from Netfinancing cash flows,(737) (233),"(6,888)",(770),,64,167,"(7,660)"
Other movements:,,,,,,,
Loss on bond repurchase,一,579,-,,1,(184),
Interest rate impacts,-,(764),-,,-,704,
Foreign exchange impacts,(1),798,115,,(14),(796),
Lease additions,-,-,"1,223",,-,-,
Remeasurement of index-linked freight contracts,-,-,(59),,-,-,
Otherinterest bearing liablites/derivative related changes,2,(1),(56),,(60) 58,(15) (557),
At the end of thefinancial year,"2,260","14,769","3,896",一,,,
