Award type,Date of grant,At1 July 2020,,,,,,Market price on date of:,Market price on date of:,Gain on awards ('000)(4),DEP on awards ('000)
Award type,Date of grant,At1 July 2020,Granted,Vested,Lapsed,At 30 June 2021,vesting date(1),Grant(2),Vesting(3),Gain on awards ('000)(4),DEP on awards ('000)
Mike Henry,,,,,,,,,,,
CDP,20-Oct-20,,"44,348",,,"44,348",Aug 25,A$35.90,,,
CDP,20-Oct-20,,"44,348",,,"44,348",Aug 22,A$35.90,,,
STIP,20-Nov-19,"17,420",1,,,"17,420",Aug21,A$37.24,1,,一
STIP,18-Dec-18,"30,692",1,"30,692",,,19 Aug 20,A$33.50,A$39.06,"A$1,199",A$152
LTIP,20-Oct-20,1,"140,239",,,"140,239",Aug25,A$35.90,1,1,1
LTIP,20-Nov-19,"153,631",1,,,"153,631",Aug 24,A$37.24,1,1,1
LTIP,18-Dec-18,"172,413",,,,"172,413",Aug 23,A$33.50,1,,
LTIP,24-Nov-17,218.020,,,,"218,020",Aug 22,A$27.97,,,
LTIP,9-Dec-16,"192,360",1,,,"192,360",Aug 21,A$25.98,1,,
LTIP,4-Dec-15,"192,360",,"92,333","100,027",,19 Aug 20,A$17.93,A$39.06,"A$3,607",A$748
Edgar Basto(5),,,,,,,,,,,
LTIP,20-Oct-20,1,"68,572",,,"68,572",Aug25,A$35.90,,,
MAP,19-May-20,"28,245",,,,"28,245",Aug 24,A$35.05,,,
MAP,19-May-20,"28,245",,,,"28,245",Aug23,A$35.05,,,
MAP,25-Sep-19,"28,245",,1,,"28,245",Aug 22,A$36.53,,,
MAP,24-Sep-18,"27,651",,1,,"27,651",Aug21,A$33.83,一,,
MAP,25-Sep-17,"33,828",,"33,828",,,19 Aug 20,A$25.98,A$39.06,"A$1,321",
Peter Beaven(6),,,,,,,,,,,
CDP,20-Oct-20,,"34,977",,,"34,977",Aug 25,A$35.90,,,
CDP,20-Oct-20,1,"34,977",1,,"34,977",Aug 22,A$35.90,1,,
STIP,20-Nov-19,"19,003",1,1,,19.003,Aug 21,A$37.24,1,,
STIP,18-Dec-18,"30,964",,"30,964",,,19 Aug 20,A$33.50,A$39.06,"A$1,209",A$154
LTIP,20-Oct-20,1,"72,182",1,,"72,182",Aug 25,A$35.90,1,,
LTIP,20-Nov-19,"139,664",1,,,"139,664",Aug 24,A$37.24,,,
LTIP,18-Dec-18,"156,739",,1,,"156,739",Aug 23,A$33.50,1,,
LTIP,24-Nov-17,"198,200",,,,"198,200",Aug 22,A$27.97,,,
LTIP,9-Dec-16,"174,873",一,1,,"174,873",Aug 21,A$25.98,,1,
LTIP,4-Dec-15,"174,873",,"83,940","90,933",,19 Aug 20,A$17.93,A$39.06,"A$3,279",A$680
David Lamont(5),,,,,,,,,,,
Performance shares,1-Dec-20,,"77,000",,,"77,000",Aug 22,A$38.56,,,
LTIP,1-Dec-20,,"68,572",,,"68,572",Aug 25,A$38.56,,,
Daniel Malchuk(6) CDP,20-Oct-20,,,,,"33,657",Aug 25,A$35.90,,,
,Date At1July 2020,,,,At 30 June,vesting,Award Market price on date of:,Award Market price on date of:,Gain on awards,DEP on awards ('000)(4),
,Date At1July 2020,,,,At 30 June,vesting,Grant(2),,Gain on awards,DEP on awards ('000)(4),
Award type Geraldine Slattery,ofgrant,,Granted,Vested,Lapsed,2021,date(1),,Vesting(3),,('000)
CDP,20-Oct-20,,"25,490",,,"25,490",Aug 25,A$35.90,,,
CDP,20-Oct-20,,"25,490",,,"25,490",Aug 22,A$35.90,,,
STIP,20-Nov-19,"6,628",1,,,"6,628",Aug 21,A$37.24,,,
LTIP,20-Oct-20,1,"54,136",,,"54,136",Aug25,A$35.90,,,
LTIP,20-Nov-19,"104,748",1,1,,"104,748",Aug 24,A$37.24,,,
MAP,21-Feb-19,"28,527",1,,,"28,527",Aug23,A$34.83,,,
MAP,21-Feb-19,"28,527",,,,"28,527",Aug 22,A$34.83,,,
MAP,24-Sep-18,"28,527",,1,,"28,527",Aug 21,A$33.83,,,
MAP,25-Sep-17,"34,349",,"34,349",,,19 Aug 20,A$25.98,A$39.06,"A$1,342",
Ragnar Udd(5),,,,,,,,,,,
LTIP,2-Nov-20,,"61,354",,,"61,354",Aug 25,A$33.81,,,
MAP,21-Aug-20,"21,231",1,一,,"21,231",Aug24,A$38.36,,,
MAP,21-Aug-20,"21,231",1,,,"21,231",Aug23,A$38.36,,,
MAP,25-Sep-19,"21,231",1,1,,"21,231",Aug 22,A$36.53,1,,
MAP,24-Sep-18,"25,565",1,1,,"25,565",Aug 21,A$33.83,1,,
