US$(‘000),Financial year,Fees,Benefits(1),Pensions(2),Total
Terry Bowen,FY2021,219,4,12,235
Terry Bowen,FY2020,187,40,10,237
Malcolm Broomhead,FY2021,195,3,10,208
Malcolm Broomhead,FY2020,201,19,11,231
Ian Cockerill,FY2021,220,-," ""-""",220
Ian Cockerill,FY2020,220,90,-,310
Xiaoqun Clever(3),FY2021,144,-," ""-""",144
Anita Frew,FY2021,220,2,-,222
Anita Frew,FY2020,220,47,-,267
Gary Goldberg(3),FY2021,246,2,-,248
Gary Goldberg(3),FY2020,90,15,-,105
Carolyn Hewson(4),FY2020,75,18,4,97
Susan Kilsby,FY2021,220,1,-,221
Susan Kilsby,FY2020,205,83,-,288
Ken MacKenzie,FY2021,864,4,16,884
Ken MacKenzie,FY2020,866,40,14,920
Lindsay Maxsted(4),FY2021,33,3,2,38
Lindsay Maxsted(4),FY2020,205,18,11,234
John Mogford,FY2021,215,2,-,217
John Mogford,FY2020,199,69,-,268
Christine O'Reilly(3),FY2021,162,-,9,171
Shriti Vadera(4),FY2021,74,1,-,75
Shriti Vadera(4),FY2020,253,48,-,301
Dion Weisler(3),FY2021,178,1,9,188
Dion Weisler(3),FY2020,15,-,1,16
