BHP Group Limited,BHP Group Limited,Number of fully paidshares,% of issued capital
1.,HSBC Custody Nominees (Australia) Limited,"645,004,218",21.86
,2.JPMorganNominees Australia PtyLimited,"469,192.067",15.90
3.,Citicorp Nominees Pty Limited <Citibank NY ADR DEP A/C>,"227,232,926",7.70
4,Citicorp Nominees Pty Ltd,"133,872.944",4.54
5,National Nominees Limited,"95,294,905",3.23
6,BNP Paribas Nominees Pty Ltd <Agency Lending DRP A/C>,"53,391,864",1.81
7,BNP Paribas Noms Pty Ltd <DRP>,"49,862,404",1.69
8,Citicorp Nominees Pty Limited <Colonial First State INV A/C>,"29,303,581",0.99
9,BNP Paribas Nominees PTY Ltd Six Sis Ltd <DRP A/C>,"26,792,321",0.91
,10.HSBC Custody Nominees (Australia) Limited <Nt-Comnwlth Super Corp A/C>,"21,100,336",0.72
,11.Computershare Nominees CI Ltd <ASX Shareplus Control A/C>,"16,974,417",0.58
,12.Australian Foundation Investment Company Limited,"13,413,159",0.45
,13.HSBC Custody Nominees (Australia) Limited <Euroclear Bank SA NV A/C>,"12,599,528",0.43
,14.Netwealth Investments Limited <Wrap Services A/C>,"9,723,904",0.33
,15.BNP Paribas Nominees Pty Ltd ACF Clearstream,"8.859,295",0.30
,16.Argo Investments Limited,"7,618,304",0.26
,17.CS Third Nominees Pty Limited <HSBC Cust Nom AU Ltd13 A/C>,"6,991,188",0.24
,18.BNP Paribas Nominees Pty Ltd Hub24 Custodial Serv Ltd <DRP A/C>,"6,466,956",0.22
,19.Solium Nominees (Australia) Pty Ltd <VSA A/C>,"6,344,025",0.22
,20.Milton Corporation Limited,"4,854,921",0.16
,,"1,844,893,263",62.53
BHP Group Plc,,Number offully paid shares,% of issued capital
1.,PLC Nominees (Proprietary) Limited(2),"271,064,311",12.83
2,National City Nominees Limited,"121,100,203",5.73
3,State Street Nominees Limited,"108,021,608",5.11
,Vidacos Nominees Limited <13559>,"103,135,721",4.88
5,Chase Nominees Limited Usresld>,"91,777141",4.35
,The Bank Of New York(Nominees),"67,444,587",3.19
7,State Street Nominees Limited,"50,880,990",2.41
8,Government Employees Pension Fund-Public Investment Corporation,"40,389.304",1.91
9.,Nortrust Nominees Limited,"39,359.904",1.86
,10.State Street Nominees Limited,"35,523,641",1.68
,11.Chase Nominees Limited <Bbhlend>,"29.919,629",1.42
,12.Hanover Nominees Limited <Sogcs>,"29,263,154",1.39
,13.Hanover Nominees Limited <Ubs03>,"28,040,186",1.33
,14.Chase Nominees Limited,"27,621,622",1.31
,15.Lynchwood Nominees Limited,"26,221,509",1.24
,16. State Street Nominees Limited,"24,820,368",1.18
,17.Industrial Development Corporation of South Africa,"23,537,693",1.11
,18.State Street Nominees Limited,"21,080,452",1.00
,19.Hanover Nominees Limited<Jpm17>,"18,945,039",0.90
,20. Vidacos Nominees Limited <Clrlux>,"18,009,571",
,,"1,176,156,633",0.85 55.69
