,2021US$M,2020
,2021US$M,3920Restated
Unrecognised deferred tax assets,,
Tax losses and tax credits(),"5,944",4088
Investments in subsidiaries(2),1.712,1.575
Deductible temporary differences relating to PRRT(3),"2,402",2.079
Mineral rights(4),"3,359",3.265
Other deductible temporary differences(5),"1,630",673
Total unrecognised deferred tax assets,"15,047",11.680
Unrecognised deferred tax liabilities,,
Investments in subsidiaries(2),"2,203","2,375"
Future taxable temporary differences relating to unrecognised deferredtax asset for PRRT(3),720,624
Total unrecognised deferred tax liabilities,"2,923","2,999"
