Year ended 30 June 2021,US$M
Other income,34
Expenses excluding net finance costs:,
Costs incurred directly by BHP Brasil and other BHP entities in relation to the Samarco dam failure,(46)
"Loss from equity accounted investments, related impairments and expenses:",
Samarco impairment expense,(111)
Samarco Germano dam decommissioning,(15)
Samarco dam failure provision,"(1,000)"
Fair value change on forward exchange derivatives,136
Net finance costs,(85)
Income tax expense,(71)
Total(1),"(1,158)"
