Commodity deposit,Mining method,Cool type,Measured Resources Mt,%Ash Measured,%VM Measured,%S Measured,Indicated Resources Mt,%Ash Indicated,%VM Indicated,%S Indicated
Goonyella Riverside,OC,Met,748,8.8,22.6,0.53,32,11.2,24.3,0.56
Broadmeadow,UG,Met,564,9.4,21.2,,423,10.2,22.9,0.55
Peak Downs,OC,Met,1036,10.2,19.4,0.60,508,10.4,19.1,0.63
Caval Ridge,OC,Met,318,12.3,22.0,0.56,,11.9,20.1,0.56
Saraji,OC,Met,788,10.6,17.6,0.64,104,12.0,17.9,0.78
Norwich Park,OC,Met,221,9.6,17.6,0.66,128,9.9,17.5,0.71
UG,Met,,20,9.4,17.4,0.73,,,,
Blackwater,OC,Met/Th,335,5.2,29.6,0.42,528,5.5,29.7,0.44
UG,Met/Th,,--,--,--,--,--,--,--,--
Daunia(3),OC,Met/PCI,91,7.8,20.9,0.36,35,8.2,20.6,0.36
OC,PCI,,--,--,--,--,--,--,--,--
OC,Met,,--,--,--,--,--,--,--,--
BHP Mitsui Coal,South Walker Creek,OC,Met/PCI,201,10.2,13.3,0.31,119,9.4,14.3
UG,Met/PCI,,36,10.0,13.8,0.31,154,10.4,12.7,0.28
Poitrel,OC,Met,42,7.9,23.9,0.35,49,8.0,24.1,0.35
Red Hill,CQCA JV,OC,Met,,,,25,12.4,19.8,0.49
UG,Met,,--,--,--,--,,,1123,9.8
Saraji East,CQCA JV,OC,Met,458,10.2,16.0,0.63,676,10.3,15.8
UG,Met,,--,--,--,--,,,35,8.3
Nebo West,BHP Mitsui Coal,OC,Anth,,,,,,,
Bee Creek,BHP Mitsui Coal,OC,Met/Th,,,,,,,
Wards Well(4),UG,Met/PCI,,,,,,,,
UG,Met,,--,--,--,--,,,,
