US$M,2021,Minera Escondida Limitada,Other individually immaterial subsidiaries (incl. intra-group eliminations),Total,2020,Minera Escondida Limitada,Other individually immaterial subsidiaries (incl. intra-group eliminations),Total
Group share (per cent),57.5,,57.5,,57.5,,57.5,
Current assets,2,996,,2,432,,2,"432,,2,432,"
Non-current assets,11,867,,12,121,,12,"121,,12,121,"
Current liabilities,(-1,912),,,(-1,614),,",(-1,614),,"
Non-current liabilities,(-4,733),,,(-4,613),,",(-4,613),,"
Net assets,8,218,,8,326,,8,"326,,8,326,"
Net assets attributable to NCI,3,493,848,4,341,3,539,"771,4,310,3,539,771,4,310,"
Revenue,9,470,,6,719,,6,"719,,6,719,"
Profit after taxation,3,605,,1,088,,1,"088,,1,088,"
Other comprehensive income,27,,(-27),,27,,(-27),","
Total comprehensive income,3,632,,1,061,,3,"632,,1,061,"
Profit after taxation attributable to NCI,1,532,615,2,147,462,318,"780,462,318,780,"
Other comprehensive income attributable to NCI,11,,11,11,(-11),,-11,"11,(-11),"
Net operating cash flow,5,007,,2,637,,2,"637,,2,637,"
Net investing cash flow,(-655),,,(-919),,,(-919),","
Net financing cash flow,(-4,001),,,(-1,920),,",(-1,920),,"
Dividends paid to NCI,1,590,537,2,127,757,286,"1,043,757,286,1,043,"
