Year ended 30 June 2020,Restated,Petroleum,Copper,Iron Ore,Coal,Group and unallocated items/eliminations,Group total
Revenue,"4,008","10,666","20,797","6,241","1,219","42,931",
Inter-segment revenue,62,-,-,1,(63),-,
Total revenue,"4,070","10,666","20,797","6,242","1,156","42,931",
Underlying EBITDA,"2,207","4,347","14,554","1,632",(669),"22,071",
Depreciation and amortisation,"(1,445)","(1,740)","(1,608)",(807),(512),"(6,112)",
Impairment losses(1),(12),(17),(22),(14),(20),(85),
Underlying EBIT,750,"2,590","12,924",811,"(1,201)","15,874",
Exceptional items(2),(6),"(1,228)",(614),(18),413,"(1,453)",
Net finance costs,-,-,-,-,(911),-,
Profit before taxation,-,-,-,-,"13,510",-,
Capital expenditure (cash basis),909,"2,434","2,328",603,626,"6,900",
(Loss)/profit from equity accounted investments, related impairments and expenses,(4),67,(508),(68),1,(512)
Investments accounted for using the equity method,245,"1,558",-,776,6,"2,585",
Total assets(3),"13,071","28,892","23,841","12,110","27,819","105,733",
Total liabilities(3),"4,824","3,535","5,441","2,601","37,157","53,558",
