2.2,Remuneration Report,98,
2.2.1,Annual statement by the Remuneration Committee Chair,,
2.2.2,Committee Chair,99,
2.2.2,Remuneration policy report,103,
2.2.2,Remuneration policy for the Executive Director,103,
2.2.2,Remuneration policy for Non-executive Directors,107,
2.2.3,Annual report on remuneration,108,
2.2.3,Remuneration for the Executive Directors (the CEOs),108,
2.2.3,Remuneration for other Executive KMP (excluding the CEOs),115,
2.2.3,Remuneration for Non-executive Directors,117,
2.2.3,Remuneration governance,118,
2.2.3,Other statutory disclosures,119,
2.3,,"Directors' Report Review of operations, principal activities and state of affairs",124
2.3,,Share capital and buy-back programs,124
2.3,,"Results, financial instruments and going concern Directors",125
2.3,,,125
2.3,,Remuneration and share interests,125
2.3,,Secretaries,126
2.3,,Indemnities and insurance,126
2.3,,Employee policies,126
2.3,,Corporate governance,127
2.3,,Dividends,127
2.3,,Auditors,127
2.3,,Non-audit services,127
2.3,,Political donations,127
2.3,,"Exploration, research and development",127
2.3,,ASIC Instrument 2016/191,127
2.3,,Proceedings on behalf of BHP Group Limited,127
2.3,,Performance in relation to environmental regulation,128
2.3,,"Share capital, restrictions on transfer of shares and other additional information",128
