United States of America,Philippines,Joint operations (c),Country of incorporation
"Suite B, 1675 South State Street, Dover, DE, 19901, United States of America","Arthaland Century Pacific Tower, 27th Floor - 5th Ave. cor. 30th Street and 4th Ave. cor. 30th Street, Bonifacio Global City, Taguig, Philippines",BHP Billiton Bolivia de Petróleo Inc.,Algeria
BHP Billiton Marketing Inc.,"Pearlbank Centre, 20th Floor - 146 Valero Street, Salcedo Village, Makati City, 1227, Philippines",BHP Billiton (Philippines) Inc. (99.99%),Australia
BHP Billiton Petroleum (Americas) Inc.,QNI Philippines Inc. (99.99%),BHP Billiton Petroleum Holdings (USA) Inc.,Australia
BHP Billiton Petroleum (Deepwater) Inc.,BHP Billiton Petroleum Holdings LLC,BHP Capital Inc.,Australia
BHP Billiton Petroleum (GOM) Inc.,BHP Chile Inc.,BHP Chile Inc.,Australia
BHP Billiton Petroleum Holdings (USA) Inc.,BHP Copper Inc.,BHP Copper Inc.,Australia
BHP Billiton Petroleum Holdings LLC,BHP Escondida Inc.,BHP Escondida Inc.,Australia
BHP Capital Inc.,BHP Finance (International) Inc.,BHP Finance (International) Inc.,Australia
BHP Chile Inc.,BHP Foreign Holdings Inc.,BHP Foreign Holdings Inc.,Australia
BHP Copper Inc.,BHP Holdings (International) Inc.,BHP Holdings (International) Inc.,Australia
BHP Escondida Inc.,BHP Holdings (Resources) Inc.,BHP Holdings (Resources) Inc.,Australia
BHP Escondida Inc.,BHP Holdings (USA) Inc.,BHP Holdings (USA) Inc.,Australia
BHP Escondida Inc.,BHP Holdings International (Investments) Inc.,BHP Holdings International (Investments) Inc.,Australia
BHP Finance (International) Inc.,BHP International Finance Corp,BHP International Finance Corp,Australia
BHP Foreign Holdings Inc.,BHP Mineral Resources Inc,BHP Mineral Resources Inc,Australia
BHP Foreign Holdings Inc.,BHP Minerals Exploration Inc.,BHP Minerals Exploration Inc.,Australia
BHP Foreign Holdings Inc.,BHP Minerals International Exploration Inc.,BHP Minerals International Exploration Inc.,Australia
BHP Foreign Holdings Inc.,BHP Minerals International LLC,BHP Minerals International LLC,Australia
BHP Foreign Holdings Inc.,BHP Minerals Service Company,BHP Minerals Service Company,Australia
BHP Foreign Holdings Inc.,BHP New Mexico Coal Inc.,BHP New Mexico Coal Inc.,Australia
BHP Foreign Holdings Inc.,BHP Peru Holdings Inc.,BHP Peru Holdings Inc.,Australia
BHP Foreign Holdings Inc.,BHP Petroleum (Arkansas Holdings) LLC,BHP Petroleum (Arkansas Holdings) LLC,Australia
