Year ended 30 June,2021,2020
Petroleum,United States - Conventional,"Scope 1,110,90"
Petroleum,United States - Conventional,"Scope 2,0,0"
Petroleum,United States - Conventional,"Financial control GHG total,110,90"
Petroleum,Australia,"Scope 1,170,250"
Petroleum,Australia,"Scope 2,0,0"
Petroleum,Australia,"Financial control GHG total,170,250"
Petroleum,Other,"Scope 1,160,80"
Petroleum,Other,"Scope 2,0,10"
Petroleum,Other,"Financial control GHG total,160,90"
Petroleum,Total petroleum,"Scope 1,440,420"
Petroleum,Total petroleum,"Scope 2,0,10"
Petroleum,Total petroleum,"Financial control GHG total,440,430"
Copper,Escondida,"Chile,Scope 1,860,860"
Copper,Escondida,"Chile,Scope 2,1990,2030"
Copper,Escondida,"Chile,Financial control GHG total,2850,2890"
Copper,Pampa Norte,"Chile,Scope 1,300,360"
Copper,Pampa Norte,"Chile,Scope 2,550,530"
Copper,Pampa Norte,"Chile,Financial control GHG total,850,890"
Copper,Olympic Dam,"Australia,Scope 1,230,230"
Copper,Olympic Dam,"Australia,Scope 2,460,450"
Copper,Olympic Dam,"Australia,Financial control GHG total,690,680"
Copper,Total copper,"Scope 1,1390,1450"
Copper,Total copper,"Scope 2,3000,3010"
Copper,Total copper,"Financial control GHG total,4390,4460"
