FY2019 to FY2020,Base salary/fees % change,Benefits % change,CDP/STI % change,FY2020 to FY2021,Base salary/fees % change,Benefits % change,CDP/STI % change
CEOs,Mike Henry,0,0,0,0,67,20
CEOs,Andrew Mackenzie,0,10,100,-,-,-
Non-executive Directors,Terry Bowen,2,33,-,17,(90),
Non-executive Directors,Malcolm Broomhead,-5,53,-,-3,84,
Non-executive Directors,Xiaoqun Clever,0,0,-,0,0,
Non-executive Directors,Ian Cockerill,0,0,-,0,-100,
Non-executive Directors,Anita Frew,0,-2,-,0,-96,
Non-executive Directors,Gary Goldberg,0,0,-,14,-87,
Non-executive Directors,Carolyn Hewson,0,0,-,-,-,
Non-executive Directors,Susan Kilsby,0,0,-,7,-99,
Non-executive Directors,Ken MacKenzie,0,25,-,0,-90,
Non-executive Directors,Lindsay Maxsted,-2,44,-,0,,
Non-executive Directors,John Mogford,6,13,-,8,-97,
Non-executive Directors,Christine O'Reilly,0,0,-,0,0,
Non-executive Directors,Shriti Vadera,0,0,-,0,0,
Non-executive Directors,Dion Weisler,0,0,-1,0,0,
Australian employees,,2,-7,43,3,-36,3
