"Title,leases Mine type & Facilities,use&Mine&location Means of access Ownership Operator or options History mineralisation style Power source condition","Title,leases Mine type & Facilities,use&Mine&location Means of access Ownership Operator or options History mineralisation style Power source condition","Title,leases Mine type & Facilities,use&Mine&location Means of access Ownership Operator or options History mineralisation style Power source condition","Title,leases Mine type & Facilities,use&Mine&location Means of access Ownership Operator or options History mineralisation style Power source condition","Title,leases Mine type & Facilities,use&Mine&location Means of access Ownership Operator or options History mineralisation style Power source condition","Title,leases Mine type & Facilities,use&Mine&location Means of access Ownership Operator or options History mineralisation style Power source condition","Title,leases Mine type & Facilities,use&Mine&location Means of access Ownership Operator or options History mineralisation style Power source condition","Title,leases Mine type & Facilities,use&Mine&location Means of access Ownership Operator or options History mineralisation style Power source condition","Title,leases Mine type & Facilities,use&Mine&location Means of access Ownership Operator or options History mineralisation style Power source condition",,
Nickel West Mt Keith mine and concentrator,Nickel West Mt Keith mine and concentrator,Nickel West Mt Keith mine and concentrator,Nickel West Mt Keith mine and concentrator,Nickel West Mt Keith mine and concentrator,Nickel West Mt Keith mine and concentrator,Nickel West Mt Keith mine and concentrator,Nickel West Mt Keith mine and concentrator,Nickel West Mt Keith mine and concentrator,,
485 km north Private road BHP100% BHP Mining leases Commissioned Open-cut On-site third- Concentration,485 km north Private road BHP100% BHP Mining leases Commissioned Open-cut On-site third- Concentration,485 km north Private road BHP100% BHP Mining leases Commissioned Open-cut On-site third- Concentration,485 km north Private road BHP100% BHP Mining leases Commissioned Open-cut On-site third- Concentration,485 km north Private road BHP100% BHP Mining leases Commissioned Open-cut On-site third- Concentration,485 km north Private road BHP100% BHP Mining leases Commissioned Open-cut On-site third- Concentration,485 km north Private road BHP100% BHP Mining leases Commissioned Open-cut On-site third- Concentration,485 km north Private road BHP100% BHP Mining leases Commissioned Open-cut On-site third- Concentration,485 km north Private road BHP100% BHP Mining leases Commissioned Open-cut On-site third- Concentration,,
"of Kalgoorlie, Nickel grantedby in 1995 by WMCDisseminated texturedparty gas-fired plant with aWestern Australiaconcentrate Western Acquiredin2005magmaticnickel- turbines with nominal capacity:Mt Keith Mine Australian as part of WMC backup fromtransported bysulphide mineralisation 11 Mtpa of oreGovernment associated with a diesel engineMt Keith Satelliteroad to Leinster acquisitionfor drying and Key leases expire metamorphosed generationMine(Yakabindie)Mt Keith Satelliteon-shipping between 2029 ultramafic intrusion Contracts expiremine containsand 2036 2 open-pit mines, in DecemberFirstrenewal of 21 Six Mile Well in 2038years isasa right.fullproduction Natural gasFurtherrenewalsand Goliath sourced andat government currently being transporteddiscretion pre-stripped under separatelong-termcontractsLeinster mine complex and concentrator","of Kalgoorlie, Nickel grantedby in 1995 by WMCDisseminated texturedparty gas-fired plant with aWestern Australiaconcentrate Western Acquiredin2005magmaticnickel- turbines with nominal capacity:Mt Keith Mine Australian as part of WMC backup fromtransported bysulphide mineralisation 11 Mtpa of oreGovernment associated with a diesel engineMt Keith Satelliteroad to Leinster acquisitionfor drying and Key leases expire metamorphosed generationMine(Yakabindie)Mt Keith Satelliteon-shipping between 2029 ultramafic intrusion Contracts expiremine containsand 2036 2 open-pit mines, in DecemberFirstrenewal of 21 Six Mile Well in 2038years isasa right.fullproduction Natural gasFurtherrenewalsand Goliath sourced andat government currently being transporteddiscretion pre-stripped under separatelong-termcontractsLeinster mine complex and concentrator","of Kalgoorlie, Nickel grantedby in 1995 by WMCDisseminated texturedparty gas-fired plant with aWestern Australiaconcentrate Western Acquiredin2005magmaticnickel- turbines with nominal capacity:Mt Keith Mine Australian as part of WMC backup fromtransported bysulphide mineralisation 11 Mtpa of oreGovernment associated with a diesel engineMt Keith Satelliteroad to Leinster acquisitionfor drying and Key leases expire metamorphosed generationMine(Yakabindie)Mt Keith Satelliteon-shipping between 2029 ultramafic intrusion Contracts expiremine containsand 2036 2 open-pit mines, in DecemberFirstrenewal of 21 Six Mile Well in 2038years isasa right.fullproduction Natural gasFurtherrenewalsand Goliath sourced andat government currently being transporteddiscretion pre-stripped under separatelong-termcontractsLeinster mine complex and concentrator","of Kalgoorlie, Nickel grantedby in 1995 by WMCDisseminated texturedparty gas-fired plant with aWestern Australiaconcentrate Western Acquiredin2005magmaticnickel- turbines with nominal capacity:Mt Keith Mine Australian as part of WMC backup fromtransported bysulphide mineralisation 11 Mtpa of oreGovernment associated with a diesel engineMt Keith Satelliteroad to Leinster acquisitionfor drying and Key leases expire metamorphosed generationMine(Yakabindie)Mt Keith Satelliteon-shipping between 2029 ultramafic intrusion Contracts expiremine containsand 2036 2 open-pit mines, in DecemberFirstrenewal of 21 Six Mile Well in 2038years isasa right.fullproduction Natural gasFurtherrenewalsand Goliath sourced andat government currently being transporteddiscretion pre-stripped under separatelong-termcontractsLeinster mine complex and concentrator","of Kalgoorlie, Nickel grantedby in 1995 by WMCDisseminated texturedparty gas-fired plant with aWestern Australiaconcentrate Western Acquiredin2005magmaticnickel- turbines with nominal capacity:Mt Keith Mine Australian as part of WMC backup fromtransported bysulphide mineralisation 11 Mtpa of oreGovernment associated with a diesel engineMt Keith Satelliteroad to Leinster acquisitionfor drying and Key leases expire metamorphosed generationMine(Yakabindie)Mt Keith Satelliteon-shipping between 2029 ultramafic intrusion Contracts expiremine containsand 2036 2 open-pit mines, in DecemberFirstrenewal of 21 Six Mile Well in 2038years isasa right.fullproduction Natural gasFurtherrenewalsand Goliath sourced andat government currently being transporteddiscretion pre-stripped under separatelong-termcontractsLeinster mine complex and concentrator","of Kalgoorlie, Nickel grantedby in 1995 by WMCDisseminated texturedparty gas-fired plant with aWestern Australiaconcentrate Western Acquiredin2005magmaticnickel- turbines with nominal capacity:Mt Keith Mine Australian as part of WMC backup fromtransported bysulphide mineralisation 11 Mtpa of oreGovernment associated with a diesel engineMt Keith Satelliteroad to Leinster acquisitionfor drying and Key leases expire metamorphosed generationMine(Yakabindie)Mt Keith Satelliteon-shipping between 2029 ultramafic intrusion Contracts expiremine containsand 2036 2 open-pit mines, in DecemberFirstrenewal of 21 Six Mile Well in 2038years isasa right.fullproduction Natural gasFurtherrenewalsand Goliath sourced andat government currently being transporteddiscretion pre-stripped under separatelong-termcontractsLeinster mine complex and concentrator","of Kalgoorlie, Nickel grantedby in 1995 by WMCDisseminated texturedparty gas-fired plant with aWestern Australiaconcentrate Western Acquiredin2005magmaticnickel- turbines with nominal capacity:Mt Keith Mine Australian as part of WMC backup fromtransported bysulphide mineralisation 11 Mtpa of oreGovernment associated with a diesel engineMt Keith Satelliteroad to Leinster acquisitionfor drying and Key leases expire metamorphosed generationMine(Yakabindie)Mt Keith Satelliteon-shipping between 2029 ultramafic intrusion Contracts expiremine containsand 2036 2 open-pit mines, in DecemberFirstrenewal of 21 Six Mile Well in 2038years isasa right.fullproduction Natural gasFurtherrenewalsand Goliath sourced andat government currently being transporteddiscretion pre-stripped under separatelong-termcontractsLeinster mine complex and concentrator","of Kalgoorlie, Nickel grantedby in 1995 by WMCDisseminated texturedparty gas-fired plant with aWestern Australiaconcentrate Western Acquiredin2005magmaticnickel- turbines with nominal capacity:Mt Keith Mine Australian as part of WMC backup fromtransported bysulphide mineralisation 11 Mtpa of oreGovernment associated with a diesel engineMt Keith Satelliteroad to Leinster acquisitionfor drying and Key leases expire metamorphosed generationMine(Yakabindie)Mt Keith Satelliteon-shipping between 2029 ultramafic intrusion Contracts expiremine containsand 2036 2 open-pit mines, in DecemberFirstrenewal of 21 Six Mile Well in 2038years isasa right.fullproduction Natural gasFurtherrenewalsand Goliath sourced andat government currently being transporteddiscretion pre-stripped under separatelong-termcontractsLeinster mine complex and concentrator","of Kalgoorlie, Nickel grantedby in 1995 by WMCDisseminated texturedparty gas-fired plant with aWestern Australiaconcentrate Western Acquiredin2005magmaticnickel- turbines with nominal capacity:Mt Keith Mine Australian as part of WMC backup fromtransported bysulphide mineralisation 11 Mtpa of oreGovernment associated with a diesel engineMt Keith Satelliteroad to Leinster acquisitionfor drying and Key leases expire metamorphosed generationMine(Yakabindie)Mt Keith Satelliteon-shipping between 2029 ultramafic intrusion Contracts expiremine containsand 2036 2 open-pit mines, in DecemberFirstrenewal of 21 Six Mile Well in 2038years isasa right.fullproduction Natural gasFurtherrenewalsand Goliath sourced andat government currently being transporteddiscretion pre-stripped under separatelong-termcontractsLeinster mine complex and concentrator",,
375 km north Public road BHP100% BHP,375 km north Public road BHP100% BHP,Mining leases,Production,Open-cut and On-site third- Concentration,Open-cut and On-site third- Concentration,Open-cut and On-site third- Concentration,Open-cut and On-site third- Concentration,Open-cut and On-site third- Concentration,,
"of Kalgoorlie, Nickel","of Kalgoorlie, Nickel",granted by,commenced in,underground,party gas-fired plant with a,party gas-fired plant with a,party gas-fired plant with a,party gas-fired plant with a,,
Western Australiaconcentrate,Western Australiaconcentrate,Western,1979,Steeply dipping,turbines with nominal capacity:,turbines with nominal capacity:,turbines with nominal capacity:,turbines with nominal capacity:,,
Venus sub-levelshipped by,Venus sub-levelshipped by,Australian,Acauired in 2005,disseminated and,back up from 3 Mtpa of ore,back up from 3 Mtpa of ore,back up from 3 Mtpa of ore,back up from 3 Mtpa of ore,,
caving operationroad and rail to,caving operationroad and rail to,Government,as part of WMC,massive textured,diesel engine,diesel engine,diesel engine,diesel engine,,
B11block cavingKalgoorlie Nickel,B11block cavingKalgoorlie Nickel,Keyleasesexpire,acquisition,nickel-sulphide,generation,generation,generation,generation,,
