Significant subsidiaries,Country of incorporation,Principal activity,Group's interest 2021 %,Group's interest 2020 %
Coal,,,,
BHP Mitsui Coal Pty Ltd,Australia,Coal mining,80,80
Hunter Valley Energy Coal Pty Ltd,Australia,Coal mining,100,100
Copper,,,,
BHP Olympic Dam Corporation Pty Ltd,Australia,Copper and uranium mining,100,100
Compañía Minera Cerro Colorado Limitada,Chile,Copper mining,100,100
Minera Escondida Ltda(1),Chile,Copper mining,57.5,57.5
Minera Spence SA,Chile,Copper mining,100,100
Iron Ore,,,,
BHP Iron Ore (Jimblebar) Pty Ltd(2),Australia,Iron ore mining,85,85
BHP Iron Ore Pty Ltd,Australia,Service company,100,100
BHP Minerals Pty Ltd,Australia,Iron ore and coal mining,100,100
BHP (Towage Service) Pty Ltd,Australia,Towing services,100,100
Marketing,,,,
BHP Billiton Freight Singapore Pte Limited,Singapore,Freight services,100,100
BHP Billiton Marketing AG,Switzerland,Marketing and trading,100,100
BHP Billiton Marketing Asia Pte Ltd,Singapore,Marketing support and other services,100,100
Group and Unallocated,,,,
BHP Billiton Finance B.V.,The Netherlands,Finance,100,100
BHP Billiton Finance Limited,Australia,Finance,100,100
BHP Billiton Finance (USA) Limited,Australia,Finance,100,100
BHP Canada Inc.,Canada,Potash development,100,100
BHP Group Operations Pty Ltd,Australia,Administrative services,100,100
BHP Nickel West Pty Ltd,Australia,"Nickel mining, smelting, refining and administrative services",100,100
WMC Finance (USA) Limited,Australia,Finance,100,100
