As at 30 June 2020,Total Reserves,Mt,%TCu,%SCu,ppmMo,Reserve life (years)
As at 30 June 2020,206,,0.58,,,58
As at 30 June 2020,5210,5.210,0.66,1,1,
As at 30 June 2020,1660,"1,660",0.42,1,1,
As at 30 June 2020,35,,0.58,0.42,1,3.4
As at 30 June 2020,18,,0.58,0.17,1,
As at 30 June 2020,14,,0.51,0.10,1,
As at 30 June 2020,31,,0.61,0.42,1,36
As at 30 June 2020,10,,0.67,0.30,=,
As at 30 June 2020,107,,0.61,0.10,1,
As at 30 June 2020,23,,0.66,0.05,95,
As at 30 June 2020,1310,"1,310",0.46,0.02,150,
As at 30 June 2020,448,,1.88,0.57,0.69,4 43
As at 30 June 2020,25,,0.86,0.29,0.34,2
As at 30 June 2020,245,,0.94,%Zn,g/tAg,7.7
As at 30 June 2020,,,,0.13,7,340
As at 30 June 2020,163,,0.85,2.14,13,80
