IFRS 13Fair value hierarchyLevel(1) IFRS 9 Classification,IFRS 13Fair value hierarchyLevel(1) IFRS 9 Classification,2021,2020
IFRS 13Fair value hierarchyLevel(1) IFRS 9 Classification,IFRS 13Fair value hierarchyLevel(1) IFRS 9 Classification,2021,US$MRestated
Current cross currency and interest rate swaps(2) 2 Fair value through profit or loss,Current cross currency and interest rate swaps(2) 2 Fair value through profit or loss,20,3
Current other derivative contracts(3),2.3 Fair value through profit or loss,207,45
Current other investments(4),1.2 Fair valuethrough profit or loss,3,36
Non-current cross currency and interest rate swaps(2),2 Fairvalue through profit orloss,"1,123",2.009
Non-curent other derivativecontracts(3),23 Fair value through profit or loss,152,159
Fair value through otherNon-current investment in shares 3 comprehensive income,Fair value through otherNon-current investment in shares 3 comprehensive income,31,32
Non-current otherinvestments(4)5) 1.2.3 Fair value through profit or loss,Non-current otherinvestments(4)5) 1.2.3 Fair value through profit or loss,304,322
Total otherfinancial assets,Total otherfinancial assets,1.840,"2,606"
Cash and cash equivalents Amortised cost,Cash and cash equivalents Amortised cost,"15,246",13.426
Trade and otherreceivables(),Amortised cost,"2,363",1.633
Provisionally priced trade receivables,2 Fair value through profit or loss,3.547,1480
Loans to equity accounted investments,Amortised cost,\,40
Total financial assets,,"22,996",19.185
Non-financial assets,,"85,931",86.548
Total assets,,"108,927","105,733"
Current cross currency and interest rate swaps(2),2 Fair value through profit or loss,一,165
Current other derivativecontracts(3),2.3 Fair value through profit or loss,52,60
Current other financial liabilities(),Amortised cost,78,1
Non-current cross currency and interest rate swaps(2),2 Fair value through profit or loss,586,"1,414"
Non-current other financial liabilities(7),Amortised cost,560,二
Total otherfinancialliabilities,,"1,276","1,639"
Trade and other payables(8),Amortised cost,"6,277",5.354
Provisionally priced trade payables,2 Fair value through profit or loss,574,269
Bank loans(9),Amortised cost,"2,260",2.492
Notes and debentures(9),Amortised cost,"14,769","21,045"
Lease liabilties,,3.896,"3,443"
Other(9）,Amortised cost,58,68
Total financial liabilities,,"29,110",34.310
Non-financialiabilties,,"24,212","19,248"
Total liabilities,Total liabilities,"53,322",53.558
