Metric(),Total Escondida,,Legacy assets,Nickel West,NSW Energy Coal,Olympic Pampa Dam,Norte,Petroleum(2),Jansen Potash Project,BMA,,Western Australia BMC Iron Ore
Assets in water stress location(3),,Yes,,,,,Yes,,,,,
Withdrawals(4) (megalitres),"438,660","223,330","1,090 16,290",,"9,500",,"14,6809.860","76,850","35032,370",,,4.51049.830
Water withdrawals by quality -Type1,"54,310",0,1090,2.620,3.540,0,0,40,,0 13.600,"2,230","31,190"
Water withdrawals by quality - Type 2,36.970,0,04.590,,"3,170",10.840,0,0,35011.370,,"1,540","5,110"
Water withdrawals by quality - Type 3,"347,390","223,330",09.090,,2.790,,3.8409.860,"76,810",,"07,400",740,"13,530"
Water withdrawals by source- Surface water(4),"30,350",0,"1,090",160,"6,710",820,0,0,26019.670,,"1,640",0
Water withdrawals by source- Groundwater,"100,700","7,630",013.990,,"1,950",,"13,8603.980",7.800,"905,420",,740,"45,240"
Water withdrawals by source - Seawater,"284,700","215,690",0,0,0,0,0,69.010,0,0,0,0
Water withdrawals by source- Third party(5),"22.,910",0,0,"2,150",840,,"05,880",40,,07.270,2.140,4.590
Total water withdrawals (water stress areas)(3),233.190,"223,330",0,0,0,,09.8606),0,0,0,0,0
Discharges (megalitres),"203,450","123,200",0,360,0,0,0,"76,810",,1001.540,0,"1,440"
Water discharges by quality - Type1,0,0,0,0,0,0,0,0,0,0,0,0
Water discharges by quality - Type2,2.390,0,0,0,0,0,0,0,"901,540",,0,760
Water discharges by quaity -Type3,"201,060","123,200",0,360,0,0,0,"76,810",10,0,0,680
Water discharges by destination - Surface water,"2,450",0,0,0,0,0,0,0,90,970,0,1390
Water discharges by destination - Groundwater,9.670,1.860,0,0,0,0,0,7.800,10,0,0,0
Water discharges by destination- Seawater,"190,660","121,340",0,0,0,0,0,69.000,0,270,0,50
Water discharges by destination -Third party,660,0,0,360,0,0,0,0,。,300(8),0,0
Total water discharges (water stress areas)(3),123.200,123.200,0,0,,,,,,0,,0
Consumption (megalitres),"267,130",97.820,"1,950 13.090",,"0 8,350","0 13,790","0 9,130",0 70,0,"100 45,900","0 4,870",72.060
Consumption -evaporation,"141,430","31,980","1,950",520,"5,110",7.780,"6,420",0,,"60 32,680",3.380,51.550
Consumption - entrainment,"107,270","65,330",0,0,3.180,1.940,2.560,0,,012.310,"1,440","20,510"
Consumption - other Total consumption (water,"18,450",520,,"012,560",60,"4,080",150,70,40,920,50,0
stress areas)(3) Recycled/reused,"106,950","97,820",0,0,0,,09.130,0,0,0,0,0
(megalitres) Diversions (megalitres),"262,430","41,150",,209.490,0,,"13,250 183,710",0,,"04,890",600,9.320
Diversions-withdrawals,"103,220",40037.890,,0,0,950,730,"1,260",,011.710,,"050,280"
Diversions - discharges,68.910,400,"38,810",0,0,950,790,"1,260",0,890,,025.810
