1.13.12,Environment 47
1.13.13,Water 48
1.13.14,Land and biodiversity 49
1.13.15,Tailingsstorage facilities 50
1.13.16,Independent limited 52 assurance report
1.14,Section 172 statement 53
1.15,Samarco 55
1.16,Risk factors 56
1.17,Performance by commodity 64
1.17.1,Petroleum 64
1.17.2,Copper 65
1.17.3,Iron Ore 66
1.17.4,Coal 67
1.17.5,Other assets 68
1.17.6,Impact of changes 68 to commodity prices
1.18,Other information 68
1.18.1,Company details and 68 terms of reference
1.18.2,Forward-looking statements 69
