Country of incorporationArgentina,Country of incorporationArgentina,Country of incorporationArgentina,Australia,,,
Country of incorporationArgentina,Country of incorporationArgentina,Country of incorporationArgentina,"Level14, 480 Queen Street, Brisbane, QLD,4000, Australia",,,
"Registered office addressSarmiento580,piso4-5°Buenosires,C104AAL,Argetina",,,BHP Coal Pty Ltd ()(),,,
"Registered office addressSarmiento580,piso4-5°Buenosires,C104AAL,Argetina",,,BHP Energy Coal Australia Pty Ltd,,,
Company NameBHP Petroleum (Argentina) S.A.,,,BHP Energy Coal Australia Pty Ltd,,,
Company NameBHP Petroleum (Argentina) S.A.,,,,,BHP MetCoal Holdings Pty Ltd 00(u),
,,,BHP Minerals Asia Pacific Pty Ltd,,,
Australia,,,,,,
Australia,,,BHP Queensland Coal Investments Pty Ltd,,,
"125 St Georges Terrace,PerthWA6oooAustralia",,,,,,
"125 St Georges Terrace,PerthWA6oooAustralia",,,Broadmeadow Mine Services Pty Ltd (t),,,
BHP (Towage Services) Pty Ltd ()(ω),,,Central Queensland Services Pty Ltd (t),,,
BHP Direct Reduced Iron Pty Limited (),,,Coal Mines Australia Pty Ltd,,,
BHP IO Mining Pty Ltd,,,Dampier Coal (Queensland) Proprietary Limited ()(u),,,
BHP IO Workshop Pty Ltd,,,Hay Point Services Pty Limited (t),,,
BHP IO Workshop Pty Ltd,,,Hay Point Services Pty Limited (t),,,
BHPIron Ore Holdings Pty Ltd,,,,,,
BHPIron Ore Holdings Pty Ltd,,,Hunter Valley Energy Coal Pty Ltd,,,
BHP Iron Ore PtyLtd 0)0(u),,,,,,
BHP Iron Ore PtyLtd 0)0(u),,,Mt Arthur Coal Pty Limited,,,
BHP Minerals PtyLtd(00(0(ω),,,Mt Arthur Underground Pty Ltd,,,
,,,OS ACPM Pty Ltd (0(),,,
BHP Petroleum (Australia) Pty Ltd,,,OS ACPM Pty Ltd (0(),,,
BHP Petroleum (Bass Strait) Pty Ltd,,,,,,
BHP Petroleum (Bass Strait) Pty Ltd,,,OS MCAP Pty Ltd ((M,,,
BHP Petroleum (International Exploration) Pty Ltd,,,UMAL Consolidated Pty Ltd ((),,,
,BHP Petroleum (North West Shelf) Pty Ltd,BHP Petroleum (North West Shelf) Pty Ltd,BHP Petroleum (North West Shelf) Pty Ltd,,,
BHP Petroleum (Victoria) Pty Ltd,,,"Level15,7Collinstreet,elbourne,VC,Atra",,,
BHP Petroleum International Pty Ltd (),,,Agnew Pastoral Company Pty Ltd,,,
BHP Petroleum Investments (Great Britain) Pty Ltd,,,Albion Downs Pty Limited,,,
BHP Petroleum Pty Ltd,,,,,,
BHP Petroleum Pty Ltd,,,BHP (AUS) DDS Pty Ltd (s),,,
BHP Towage Services (Boodarie) Pty Ltd,,,BHP Aluminium Australia Pty Ltd,,,
BHP Towage Services (Iron Brolga) Pty Ltd,,,BHPBlliton Finance (USA) Limited(),,,
BHP Towage Services (Iron Corela) Pty Ltd,,,,,,
BHP Towage Services (Iron Corela) Pty Ltd,,,BHP Billiton Finance Limited (),,,
BHP Towage Services (Iron Ibis) Pty Ltd,,,BHP Billiton SSM Development Pty Ltd,,,
