Individual measures,Individual scorecard targets,Performance against scorecard targets,Measure outcome,
Performance,BHP Operating System deployment on track.,"The deployment of the BHP Operating System is tracking better than target on the schedule and costs of implementation, and the improvement value identified and delivered to date is in excess of target.",Between target and maximum.,
,Enterprise-wide improvement initiatives established and progressed to plan.,"The accelerated delivery of cost savings targeted by the end of FY2021 has been achieved, and in-flight initiatives are progressing to plan.",,
Social value,Social value plans established for each asset.,"All assets have established social value plans, and also delivered the FY2021 actions set out in those plans.",Target.,
,Reframing the social value narrative plan agreed and underway.,"'Reframing the Narrative', marketing segmentation strategy, audience testing and creative concepts were presented to the Board throughout FY2021, approved as necessary, and implemented, with strong results received so far.",,
,Restructure of the leadership of Samarco/Fundação Renova oversight.,"Samarco/Fundação Renova leadership was successfully restructured to have Samarco/Fundação Renova overseen by a dedicated person reporting directly to the regional President Minerals Americas, and a dedicated external affairs team was also established.",,
,Progress on Samarco claims.,"Good progress on Fundação Renova compensation programs, and we have continued to amplify our communications and stakeholder engagement in Brazil, with positive feedback received.",,
People,Increase in female participation by three percentage points.,"By 30 June 2021 gender diversity had increased 2.7 percentage points to 29.2%, up from 26.5% at 30 June 2020, for a cumulative increase of 11.6 percentage points from 17.6% at 30 June 2016.",Between threshold and target.,
,"Operations Services (OS) increased to 5,000 employees.","By 30 June 2021 there were 3,864 OS employees.",,
,New Engagement and Perception Survey (EPS) system embedment.,The new EPS was successfully implemented during FY2021 with high levels of participation and a strong improvement focus.,,
,ELT members' development and succession plans.,"The ELT transitions were completed in FY2021 (i.e. promotions, recruitment and departures), and updated individual development plans were established for all ELT members.",,
Portfolio,Portfolio strategy delivery.,"Strong progress on delivery of key strategy elements as have been publicly announced, including preparing for the investment in Jansen Stage 1, pursuing a merger of our Petroleum business with Woodside, unifying our corporate structure and the Cerrejón divestment. The process for BHP Mitsui Coal and New South Wales Energy Coal is progressing, in line with the two-year timeframe set last year.",Target.,
,Exploration and development performance.,"The metals exploration strategy was refreshed, as presented to the Board in June 2021, and is now in execution. Greenfield exploration activity has increased, with wider geographic coverage and greater focus on using technology to increase identification of ore under cover.",,
,Business development process improvement.,"Business Development and Exploration teams are working effectively together, with the co-location of senior personnel, which will improve the interactions of the teams, as well as access to new opportunities. In addition, the Business Development team has significantly increased capability during FY2021.",,
