,Australia US$M,United States(7) US$M,Other(8) US$M,Total US$M
2021,,,,
Oil and gas revenuel),"2,272","1,244",368,"3,884"
Production costs,(487),(267),(93),(847)
Exploration expenses,(23),(164),(305),(492)
"Depreciation,depletion,amortisationandvaluationprovision(2)","(1,210)",(489),(113),"(1,812)"
Production taxes(3),(125),-,(11),(136)
,427,324,(154),597
Accretion expense(4),(89),(22),(7),(118)
Income taxes,(46),(78),(115),(239)
Royalty-related taxes(5),11,三,-,11
Results of oil and gas producing activities(6),303,224,(276),251
2020,,,,
Oil and gas revenuel(),2.535,1101,350,3.986
Production costs,(575),(161),(80),(816)
Exploration expenses,（37),(271),(252),（560)
"Depreciation, depletion,amortisation and valuation provision(2",（906),(476),（75）,(1.457)
Production taxes(3),(177),(),(13),(191)
,840,192,（70）,962
Accretion expense(4),（78）,(24),（10）,(112)
Income taxes,(275),(35),（157）,(467)
Royalty-related taxes(5),(85),1,1,(85)
Results of oil and gas producing activities(6),402,133,(237),298
2019,,,,
Oil and gas revenuel(),3.404,2.675,610,6.689
Production costs,(752),(568),（118）,(1.438)
Exploration expenses,（44),(162）,(229),(435)
"Depreciation,depletion,amortisation and valuation provision(2",（917),(621),（103),(1.641)
Production taxes(3),（198),-,(25),(223)
,1493,1.324,135,2.952
Accretion expense(4),（80）,(34）,（13）,（127)
Income taxes,（530）,（193),(267),（990)
Royalty-related taxes(5),（164）,-,-,（164）
Results of oil and gas producing activities(6),719,1.097,(145),1.671
