Financial impacts of Samarco dam failure,2021 US$M,2020 US$M,2019 US$M
Other income (1),34,489,50
Expenses excluding net finance costs:,,,
Costs incurred directly by BHP Brasil and other BHP entities in relation to the Samarco dam failure (2),(46),(64),(57)
"Loss from equity accounted investments, related impairments and expenses:",,,
Samarco impairment expense (3),(111),(95),(96)
Samarco Germano dam decommissioning (4),(15),46,(263)
Samarco dam failure provision (5),"(1,000)",(459),(586)
Fair value change on forward exchange derivatives (6),136,—,—
Loss from operations,"(1,002)",(83),(952)
Net finance costs (7),(85),(93),(108)
Loss before taxation,"(1,087)",(176),"(1,060)"
Income tax expense (8),(71),—,—
Loss after taxation,"(1,158)",(176),"(1,060)"
Balance sheet movement,,,
Trade and other payables,(5),(5),4
Derivatives,136,—,—
Tax liabilities,(71),—,—
Provisions,(741),(137),(629)
Net liabilities,(681),(142),(625)
