Year of expiry,202,
Year of expiry,202,
Income tax losses,,
Not later than one year,13,474
Later than one yearand notlater thantwo years,,240
Later than two years and not later than five years,105,2.525
Later than five years and not later than 1O years,"1,449",679
Later than 10 years and not later than 2O years,"3,347",2.379
Unlimited,"4,799",2.262
,"9,718",8.559
Capital tax losses,,
Not later than one year,,
Later than two yearsand not later than five years,,=
Unlimited,"4,238","4,150"
Gross amount oftax losses not recognised,"13,956",12.709
Tax effect of totallosses not recognised,"3,569","2,405"
