Year ended 30 June 2021 US$M,Revenue,Underlying,Underlying Net operating,Underlying Net operating,Underlying Net operating,Capital expenditure,Exploration gross(4),Exploration to profit,,,
Year ended 30 June 2021 US$M,Revenue,Underlying,EBITDA,D&A,,,,,,,
Western Australia Iron Ore,"34,337","26,270","1,959","EBIT 24,311","assets 21,289",Capital expenditure,Exploration gross(4),Exploration to profit,"2,186",,
Samarco(1),-,-,-,-,"(2,794)",-,,,,,
Other(2),120,7,25,(18),168,2,,,,,
Totallron Ore from Group production,"34,457","26,277","1,984","24,293","18,663","2,188",,,,,
Third-party products(3),18,1,-,1,-,-,,,,,
Total Iron Ore,"34,475","26,278","1,984","24,294","18,663","2,188",100,55,,,
Adjustment for equity accounted investments,-,-,一,一,一,-,-,-,,,
Total Iron Ore statutory result,"34,475","26,278","1,984","24,294","18,663","2,188",100,55,,,
Year ended 30 June 2020 US$M,Underlying,Underlying,Underlying,Undetyng,Net operating assets,Capital expenditure,Exploration gros(4),Exploration to profit,,,
Year ended 30 June 2020 US$M,Revenue,EBITDA,D&A,Undetyng,Net operating assets,Capital expenditure,Exploration gros(4),Exploration to profit,,,
Western Australia Iron Ore,"20,663","14,508","1,606",12.902,"20,177",2.326,,,,,
"Samarco""",-,-,-,-,(2.045),三,,,,,
Other(2),119,53,24,29,268,2,,,,,
Total Iron Ore from Group production,"20,782","14,561","1,630",12.931,"18,400","2,328",,,,,
Third-party products(3),15,(7),1,(7),1,1,,,,,
Total Iron Ore,"20,797","14,554",1.630,12.924,"18,400",2.328,87,47,,,
Adjustment for equity accounted investments,1,1,1,1,1,1,1,1,,,
Total Iron Ore statutory result,"20,797","14,554",1.630,12.924,"18,400","2,328",87,47,,,
