,Australia US$M,United States(3) US$M,Other(4) US$M,Total US$M
2021,,,,
Acquisitions of proved property,=,642,-,642
Acquisitions of unproved property,-,19,-,19
Exploration(),23,166,310,499
Development,201,749,184,"1,134"
Total costs(2),224,"1,576",494,"2,294"
2020,,,,
Acquisitions of proved property,1,1,1,1
Acquisitions of unproved property,1,38,6,44
Exploration),38,278,370,686
Development,232,676,100,1008
Total costs(2),270,992,476,1.738
2019,,,,
Acquisitions of proved property,二,1,二,-
Acquisitions of unproved property,1,5,1,5
Exploration),44,190,492,726
Development,132,792,54,978
Total costs(2),176,987,546,"1,709"
