Total natural gas,340.6,359.6,493.0
BHP share of production,,,
Year ended 30 June,,,
2021,2020,2019,
Production volumes,,,
Crude oil and condensate ('000 of barrels),,,
Australia,"11,918","14,044","14,365"
United States - Conventional,"23,165","23,345","28,047"
United States - Onshore US(1),-,-,"6,411"
Other(2),"3,646","3,823","4,885"
Total crude oil and condensate,"38,729","41,212","53,708"
Natural gas (billion cubic feet),,,
Australia,280.9,292.6,310.1
United States - Conventional,7.3,8.1,10.4
United States - Onshore US(1),-,-,96.3
Other(2),52.4,58.9,76.2
Natural gas liquids(3) ('000 of barrels),,,
Australia,"6,007","6,462","6,265"
United States - Conventional,"1,306","1,189","1,581"
United States - Onshore US(1),-,-,"3,505"
Natural gas liquids (000 of barrels),Australia,"6,007","6,462,6,265"
United States - Onshore US (1),-,-,"3,505"
Other (2),-,-,42
Total NGL (3),"7,313","7,651","11,392"
Total production of petroleum products (million barrels of oil equivalent) (4),Australia,64.7,"69.3,72.3"
United States - Conventional,25.7,25.9,31.4
United States - Onshore US (1),-,-,26.0
Other (2),12.4,13.6,17.6
Total production of petroleum products,102.8,108.8,147.3
Average sales price,Crude oil and condensate (US$ per barrel),Australia,"53.31,52.38,69.50"
United States - Conventional,51.74,46.69,64.65
United States - Onshore US (1),-,-,68.02
Other (2),55.33,56.05,68.86
Total crude oil and condensate,52.56,49.53,66.73
Natural gas (US$ per thousand cubic feet),Australia,5.12,"5.60,7.00"
United States - Conventional,5.77,6.00,6.00
tsv,,,
Other(2),55.33,56.05,68.86
Natural gas (US$ per thousand cubic feet),,4.79,"5.02,5.50"
Australia,5.12,5.60,7.00
United States - Conventional,2.75,2.20,3.22
United States - Onshore US(1),,2.90,
Other(2),3.23,2.60,2.87
Total natural gas,4.79,5.02,5.50
Natural gas liquids (US$ per barrel),,31.63,"25.36,32.17"
Australia,34.16,27.51,36.54
United States - Conventional,20.82,13.44,25.73
United States - Onshore US(1),,27.74,
Other(2),,28.66,
Total NGL,31.63,25.36,32.17
Total average production cost (US$ per barrel of oil equivalent)(5),,6.76,"6.24,7.18"
Australia,6.40,7.12,8.98
United States - Conventional,8.43,4.57,5.29
United States - Onshore US(1),,4.93,
Other(2),5.20,4.94,6.41
Total average production cost,,6.76,"6.24,7.18"
Total average production cost,6.76,6.24,7.18
