Year ended 30 June,2021 US$M,2020 US$M,2019 US$M
Continuing operations,Revenue(1),60817,"42931,44288"
Continuing operations,Other income,510,"777,393"
Continuing operations,Expenses excluding net finance costs,(34500),"(28775),(28022)"
Continuing operations,Loss from equity accounted investments, related impairments and expenses,"(921),(512),(546)"
Continuing operations,Profit from operations,25906,"14421,16113"
Continuing operations,Net finance costs,(1305),"(911),(1064)"
Continuing operations,Total taxation expense,(11150),"(4774),(5529)"
Continuing operations,Profit after taxation from Continuing operations,13451,"8736,9520"
Discontinued operations,Discontinued operations,,"-,"
Discontinued operations,Profit after taxation from Discontinued operations,,"-,(335)"
Discontinued operations,Profit after taxation from Continuing and Discontinued operations,13451,"8736,9185"
Attributable to non-controlling interests,2147,780,879
Attributable to BHP shareholders,11304,7956,8306
