Year ended 30 June2021 2020 2019,Year ended 30 June2021 2020 2019,Year ended 30 June2021 2020 2019,,
Year ended 30 June2021 2020 2019,Year ended 30 June2021 2020 2019,Year ended 30 June2021 2020 2019,2021,2020 2019
Operational energy consumption (TWh),,,,
Consumption of fuel,32.6,31.6 31.7,,
- Coal and coke,0.2,0.2 0.2,,
- Natural gas,6.3,5.8 6.6,,
- Distilate/gasoline,25.5,25.0 24.2,,
- Other,0.6,0.7 0.7,,
Consumption of electricity,10.3,10.1 9.6,,
Consumption of electricity from grid,9.1,8.9 8.5,,
Total operational energy consumption,42.9,41.7 413,,
Operational energy consumption from renewable sources,0.1,0.0 0.0,,
