Millions of barrels,Australia,United States,Other(b),Total
Proved developed and undeveloped NGL reserves(a),,,,
Reserves at 30 June 2018,56.5,72.0(c)(d),-,128.4(c)(d)
Improved recovery,-,-,-,-
Revisions of previous estimates,4.9,0.8,0.0,5.7
Extensions and discoveries,0.2,0.1,-,0.2
Purchase/sales of reserves,-,(58.7),-,(58.7)
Production,-6.3,-5.1,(0.0),-11.4
Total changes,-1.2,-62.9,-,-64.1
Reserves at 30 June 2019,55.2,9.1,-,64.3
Improved recovery,-,-,-,-
Revisions of previous estimates,-17.8,1.2,-,-16.6
Extensions and discoveries,0.3,-,-,0.3
Purchase/sales of reserves,-,-,-,-
Production,-6.5,-1.2,-,-7.6
Total changes,-23.9,-,-,-23.9
Reserves at 30 June 2020,31.3,9.0,-,40.4
Improved recovery,-,-,-,-
Revisions of previous estimates,-1.6,-1.1,-,-2.7
Extensions and discoveries,-,0.0,-,0.0
Purchase/sales of reserves,-,0.6,-,0.6
Production,-6.0,-1.3,-,-7.3
Total changes,-7.6,-1.7,-,-9.3
Reserves at 30 June 2021,23.7,7.3,-,31.0
Developed,,,,
Proved developed NGL reserves,,,,
as of 30 June 2018,49.8,37.0,-,86.8
as of 30 June 2019,46.5,4.3,-,50.8
as of 30 June 2020,23.8,5.0,-,28.8
Developed reserves as of 30 June 2021,17.7,4.4,-,22.1
Undeveloped,,,,
Proved undeveloped NGL reserves,,,,
as of 30 June 2018,6.6,35.0,-,41.6
as of 30 June 2019,8.7,4.8,-,13.5
as of 30 June 2020,7.6,4.0,-,11.6
Undeveloped reserves as of 30 June 2021,6.0,2.9,-,8.9
