,BHP Group Limited,BHP Group Limited,BHP Group Limited,BHP Group Plc,BHP Group Plc,BHP Group Plc,BHP Group Plc,BHP Group Plc
,Numberof shareholders,%,Number ofshares(1),%,Number of shareholders,%,Number.. ofshares(1),%
Size of holding,,,,,,,,
1-5002,"254,525",46.85,"53,184,352",1.80,"7,169",53.32,"1,423,059",0.07
"501-1,000","100,846",18.56,"77,206,333",2.62,2.229,16.58,"1,641.003",0.09
"1,001-5,000","148,183",27.28,331352.33,11.23,2.300,17.11,"4,722,591",0.24
"5,001-10.000",23.571,4.34,"166,292,785",5.64,355,2.64,"2,528,873",0.12
"10,001- 25.000",12.189,2.24,"182,978,713",6.20,328,2.44,"5,415,961",0.25
"25,001-50.000",2.620,0.48,"89,156,739",3.02,196,1.46,"7,137,840",0.34
"50,001-100,000",880,0.16,"60,146,735",2.04,187,1.39,"13,643.993",0.71
"100,001- 250,000",322,0.06,"45,485,094",1.54,242,1.80,"39,735,115",1.78
"250,001-500.000",72,0.01,"24,988,342",0.85,121,0.90,"43,918,465",2.39
"500,001-1,000,000",28,0.01,"19,404,350",0.66,110,0.82,"78.002,808",3.32
"1,000,001and over",45,0.01,"1,900,055,618",64.40,207,1.54,"1,913,902,088",90.62
Total,"543,281",100.00,"2,950,251,394",100.00,"13,444",100.00,"2,112,071,796",100.00
