Area name,"Position of owned, leasedormanagedland relativeto DPAorHBVA",For DPA-Basis ofrecognition,DPA designation type,IUCN category,For HBVA-Basis of recognition
Great Barrier Reef World Heritage Area,Contains portions of,World Heritage Area,International NA,,
Norwich Park,Adjacent to,Nature Refuge,National,V,
Norwich Park,Contains portions of,Nature Refuge,National,VI,
Blackwater,Adjacent to,Conservation Park,National,三,
Kenmare,Adjacent to,National Park (scientific),National,VI,
Dipperu,Adjacent to,National Park,National,la,
Lake Eyre,Adjacent to,,,,IBA-migratory birds/congregations
Strezelecki Desert Lakes,Contains portions of,,,,"IBA-endemic,migratorybirds/"
Lake Torrens,Adjacent to,,,,"congregations,other IBA-migratory birds/congregations"
Arcoona Lakes,Contains portions of,,,,IBA-migratory birds/congregations
Witchelina Nature Reserve,Adjacent to,Heritage Agreement,National,la,
Lake Torrens,Contains portions of,National Park,National,V,
Strezelecki,Adjacent to,Regional Reserve,National,VI,
Elliot Price,Adjacentto,Conservation Park,National,la,
Kati Thanda-Lake Eyre,Adjacentto,National Park,National,V,
WabmaKadarbuMound Springs,Adjacentto,Conservation Park,National,三,
Coongie Lakes,Contains portions of,"Ramsar Site,Wetland of International Importance",InternationalNotreported,,
Unnamed (No.HA1545),In the Area,Heritage Agreement,National,I,
Unnamed (No.HA1022),Adjacent to,Heritage Agreement,National,I,
Wanjarri,Adjacent to,Nature Reserve,National,la,
Wanjarri,Contains portions of,Nature Reserve,National,la,
Kambalda,Adjacentto,Nature Reserve,National,la,
Ngadju,Contains portions of,Indigenous Protected Area,National,VI,
Dordie Rocks,Adjacent to,Nature Reserve,National,=,
Leda,Adjacent to,Nature Reserve,National,la,
Unnamed WA51658,Adjacent to,5(1)(h) Reserve,National,=,
Karijini,Adjacent to,National Park,National,=,
Fortescue Marshes,Contains portions of,,,,"IBA-CR/EN,VU,migratords/ congregations,others"
Fortescue Marshes,Adjacent to,,,,"IBA-CR/EN,VU,migratoryirds/"
Scott,Adjacent to,National Park,National,=,"congregations,others"
Ningaloo Ningaloo Coast,Adjacent to,Australian Marine Park,National,V,
,Adjacento,World Heritage Site (natural or mixed),International N/A,,
Gascoyne,Adjacent to,Australian Marine Park,National,=,
Port Campbell,Contains portions of,National Park,National,=,
Private Conservation Lands,Adjacent to,Private Conservation Lands,N/A,IV,
Tobeatic Wilderness,Adjacent to,Wilderness Area,National,ib,
South West Nova,Adjacent to,UNESCO-MAB Biosphere,International N/A,,
,,Reserve,,,
Lower San Pedro River,Contains portions of,,,,IBA - other
Reserva Nacional Los Flamencos-SoncorAdjacent to,,,,,
Los Flamencos,Adjacent to,National Reserve,National,IV,"IBA-VU, migratory birds/congregations"
Bahia de Mejilones,Contains portions of,,,,"IBA - CR/EN, migratory birds/congregations"
Parque Nacional Salar del Huasco,Contains portions of,,,,"IBA -VU, migratory birds/congregations"
Llullaillaco,Contains portions of Contains portions of,National Park,National,=,
