FY2019 to FY2020,Base salary/fees % change,Benefits % change,CDP/STI % change,FY2020 to FY2021,Base salary/fees % change,Benefits % change,CDP/STI % change
CEOs,Mike Henry,0,0,0,0,67,20
,Andrew Mackenzie,0,10,100,-,-,-
Non-executive Directors,Terry Bowen,2,33,-,17,(90),-
,Malcolm Broomhead,(5),(53),-,(3),(84),-
,Xiaoqun Clever,0,0,-,0,0,-
,Ian Cockerill,0,0,-,0,(100),-
,Anita Frew,0,(2),-,0,(96),-
,Gary Goldberg,0,0,-,14,(87),-
,Carolyn Hewson,0,0,-,-,-,-
,Susan Kilsby,0,0,-,7,(99),-
,Ken MacKenzie,0,25,-,0,(90),-
,Lindsay Maxsted,(2),(44),-,0,0,-
,John Mogford,6,13,-,8,(97),-
,Christine O'Reilly,0,0,-,0,0,-
,Shriti Vadera,0,0,-,0,0,-
,Dion Weisler,0,0,-,0,0,-
,Australian employees,2,(7),43,3,(36),3
