2020 US$M,Bank loans,Notes and debentures,Lease liabilities,Bank overdraft and short-term borrowings,Other,Cross currency and interest rate swaps,Total
At the beginning of the financial year,"2,498","21,529",715,20,66,204,
Proceeds from interest bearing liabilities,514,-,-,-,-,-,514
Settlements of debt related instruments,-,-,-,-,-,-157,-157
Repayment of interest bearing liabilities,-522,-859,-671,-,5,-,"-2,047"
Change from Net financing cash flows,-8,-859,-671,-,5,-157,"-1,690"
Other movements:,Interest rate impacts,-,720,-,-,-,-788
Foreign exchange impacts,-,-354,-43,-,-4,316,
Leases recognised on IFRS 16 transition,-,-,"2,301",-,-,-,
Lease additions,-,-,436,-,-,-,
Remeasurement of index-linked freight contracts,-,-,733,-,-,-,
Other interest bearing liabilities/derivative related changes,2,9,-28,-20,1,-8,
At the end of the financial year,"2,492","21,045","3,443",-,68,-433,
