Country,Resource,Location,Quantity,,Agency,Environment
South Australia,Copper,"uranium,gold,silver","21,000",,"DPA,Terrestrial",
Western Australia,Nickel,Nickel West,"5,427",,"DPA,Terrestrial",
Western Australia,Nickel,Nickel West,"5,427",,"DPA,Terrestrial",
Western Australia,Iron ore,WAIO,"3,667",,"DPA,Terrestrial",
Western Australia,Iron ore,WAIO,"8,295",,"HBVA,Freshwater",
Western Australia,Titanium,Beenup,7,,"DPA,Terrestrial",
Western Australia,Oil and gas,Pyrenees,558,,"DPA,Maritime",
Western Australia,Oil and gas,Stybarrow,240,,"DPA,Maritime",
Victoria,Oil and gas,Minerva,66,,"DPA,Terrestrial",
Canada,Potash,Jansen,56,,"DPA,Terrestrial",
Saskatchewan,Legacy assets/closed sites/R&CM,East Kemptville,11,,"DPA,Terrestrial",
Nova Scotia,Legacy assets/closed sites/R&CM,East Kemptville,11,,"DPA,Terrestrial",
United States,Legacy assets/closed sites/R&CM,San Manuel,115,,"HBVA,Terrestrial",
Chile,Copper,Spence,624,,"HBVA,Terrestrial",
Chile,Copper,Spence,624,,"DPA,Terrestrial",
Chile,Copper,Escondida,"1,572",,"DPA,Terrestrial",
Chile,Copper,Escondida,"1,572",,"HBVA,Terrestrial",
