As at 30 June 2021,,,,,,,,,,,As at 30 June 2020,As at 30 June 2020
,,,Proved,Proved,Probable,Probable,Total Reserves Reserve,Total Reserves Reserve,BHP,Total Reserves,Total Reserves,Reserve
Commodity deposit()()(10(0(1),Ore type,Reserves,%Ni,,Reserves Mt%Ni,Mt,%Ni,life (years),interest,Mt,%Ni,life
Nickel West operations,Nickel West operations,Mt,,,,,,,%,,,(years)
Leinster(13)14),OC,1.9,0.63,1.5,0.63,3.4,0.63,9.0,100,5.3,0.72,8.0
,UG,1,1,5.0,1.6,5.0,1.6,,,5.1,1.6,
,SP,1,1,1.5,0.76,1.5,0.76,,,0.89,0.75,
Mt Keith(15),OC,65,0.57,19,0.55,84,0.57,15,100,84,0.57,15
,SP,2.6,0.52,0.99,0.45,3.6,0.49,,,7.1,0.58,
Clifs(16),UG,0.36,2.0,0.68,1.9,1.0,1.9,3.0,100,1.1,2.0,4.0
Yakabindie07,OC,123,0.54,49,0.59,172,0.56,16,100,163,0.57,15
,SP,1.7,0.62,0.35,0.46,2.1,0.59,,,1,1,
Venus(18),UG,1,1,8.6,1.5,8.6,1.5,12,100,9.3,1.5,13
