Land(2),2021,2020,2019
"Land owned, leased or managed",hectares,"8,661,679","8,704,300,10,018,600"
Land disturbed,hectares,"175,168","151,000,144,413"
Land rehabilitated(3),hectares,"27,377","26,050,25,649"
Land set aside for conservation(3)(4),hectares,"66,822","66,500,66,500"
Water(5)(8),2021,2020,2019
Withdrawals(6),ML,"438,660","380,330,352,950"
Water withdrawals by quality - Type 1,ML,"54,310","51,610,58,850"
Water withdrawals by quality - Type 2,ML,"36,970","35,670,37,560"
Water withdrawals by quality - Type 3,ML,"347,390","293,060,256,550"
Water withdrawals by source - Surface water(7),ML,"30,350","45,190,50,660"
Water withdrawals by source - Groundwater,ML,"100,700","123,660,140,020"
Water withdrawals by source - Sea water,ML,"284,700","211,510,162,260"
Water withdrawals by source - Third-party water(6),ML,"22,910","211,510,162,260"
Total water withdrawals (water stress areas)(9),ML,"233,190","233,190,233,190"
Discharges,2021,2020,2019
Water discharges by quality - Type 1,ML,0,"0,0"
Water discharges by quality - Type 2,ML,"2,390","3,740,3,060"
Water discharges by quality - Type 3,ML,"201,060","144,110,116,190"
Water discharges by destination - Surface water,ML,"2,450","3,970,2,940"
Water discharges by destination - Groundwater,ML,"9,670","9,440,1,540"
Water discharges by destination - Sea water,ML,"190,660","134,120,114,460"
Water discharges by destination - Third-party,ML,660,"310,320"
Total water discharges (water stress areas),ML,"123,200","123,200,123,200"
Consumption,2021,2020,2019
Consumption - evaporation,ML,"141,430","127,080,143,040"
Consumption - entrainment,ML,"107,270","109,550,107,270"
Consumption - other,ML,"18,450","22,440,21,370"
Total consumption (water stress areas),ML,"106,950","106,950,106,950"
Recycled/reused,2021,2020,2019
ML,"262,430","250,090","246,420"
Diversions,2021,2020,2019
Diversions - withdrawals,ML,"103,320","103,750,122,670"
Diversions - discharges,ML,"68,910","79,430,72,500"
Waste,2021,2020,2019
Hazardous waste - Mineral total (including tailings)(10),kilotonnes,"20,420","15,000,13,500"
Non-hazardous waste - Mineral tailings(10),kilotonnes,"178,000","175,000,167,000"
Accidental discharges of water and tailings(11)(12),megalitres,0,"0,0"
