Deposit,Ore type,Mineral Resources,Ore Reserves
Leinster,OC,,≥0.40%Ni
,OC Disseminated Sulphide,≥0.40%Ni,
,OC Massive Sulphide,Stratigraphic,
,UG,,≥ 0.90%Ni
,UG Disseminated Sulphide,Variable between stratigraphic for block cave and ≥1.0%Ni,
,UG Massive Sulphide,Stratigraphic,1
,Oxide,≥1.2%Ni,
Mt Keith,"SP, SP oxidised",1,
,OC Disseminated Sulphide,Variable between 0.35%Niand 0.40%Ni,
,OC,,≥ 0.35%Niand ≥ 0.18% recoverable Ni
,SP,,
Cliffs,UG Disseminated Sulphide,≥0.40%Ni,
,UG Massive Sulphide,Stratigraphic,二
,UG,,≥1.2%Ni
Yakabindie,OC Disseminated Sulphide,≥ 0.35%Ni,
,OC,,≥ 0.35%Ni and ≥ 0.18% recoverable Ni
,SP,,
Venus,UG Disseminated Sulphide,≥ 0.40%Ni,二
,UG Massive Sulphide,Stratigraphic,
,UG,,≥ 0.9%Ni
Honeymoon Well,OC Disseminated Sulphide,≥ 0.35%Ni,
,UG Disseminated Sulphide,≥ 0.40%Ni,1
,UG Massive Sulphide,Stratigraphic,
Jericho,OC Disseminated Sulphide,≥0.40%Ni,
West Jordan,OC Disseminated Sulphide,≥ 0.40%Ni,
