Area name,"Position of owned, leased or managed land relative to DPA or HBVA",For DPA - Basis of recognition,DPA designation type,IUCN category,For HBVA - Basis of recognition
Great Barrier Reef World Heritage Area,Contains portions of,World Heritage Area,International,NA,
Norwich Park,Adjacent to,Nature Refuge,National,VI,
Norwich Park,Contains portions of,Nature Refuge,National,VI,
Blackwater,Adjacent to,Conservation Park,National,III,
Kenmare,Adjacent to,National Park (scientific),National,VI,
Dipperu,Adjacent to,National Park,National,Ia,
Lake Eyre,Adjacent to,,,,IBA - migratory birds/congregations
Strezelecki Desert Lakes,Contains portions of,,,,"IBA - endemic, migratory birds/congregations, other"
Lake Torrens,Adjacent to,,,,IBA - migratory birds/congregations
Arcoona Lakes,Contains portions of,,,,IBA - migratory birds/congregations
Witchelina Nature Reserve,Adjacent to,Heritage Agreement,National,Ia,
Lake Torrens,Contains portions of,National Park,National,VI,
Strezelecki,Adjacent to,Regional Reserve,National,VI,
Elliott Price,Adjacent to,Conservation Park,National,Ia,
Kati Thanda-Lake Eyre,Adjacent to,National Park,National,VI,
Wabma Kadarbu Mound Springs,Adjacent to,Conservation Park,National,III,
Coongie Lakes,Contains portions of,"Ramsar Site, Wetland of International Importance",International,Not reported,
Unnamed (No.HA1545),In the Area,Heritage Agreement,National,III,
Unnamed (No.HA1022),Adjacent to,Heritage Agreement,National,III,
Wanjarri,Adjacent to,Nature Reserve,National,Ia,
Wanjarri,Contains portions of,Nature Reserve,National,Ia,
Kambalda,Adjacent to,Nature Reserve,National,Ia,
Ngadju,Contains portions of,Indigenous Protected Area,National,VI,
Dordie Rocks,Adjacent to,Nature Reserve,National,II,
Leda,Adjacent to,Nature Reserve,National,Ia,
Unnamed WA51658,Adjacent to,5(1)(h) Reserve,National,II,
Karijini,Adjacent to,National Park,National,II,
Fortescue Marshes,Contains portions of,,,,"IBA - CR/EN, VU, migratory birds/congregations, others"
Fortescue Marshes,Adjacent to,,,,"IBA - CR/EN, VU, migratory birds/congregations, others"
Scott,Adjacent to,National Park,National,II,
Ningaloo,Adjacent to,Australian Marine Park,National,IV,
Ningaloo Coast,Adjacent to,World Heritage Site (natural or mixed),International,N/A,
Gascoyne,Adjacent to,Australian Marine Park,National,II,
Port Campbell,Contains portions of,National Park,National,II,
Private Conservation Lands,Adjacent to,Private Conservation Lands,N/A,IV,
Tobeatic Wilderness,Adjacent to,Wilderness Area,National,Ib,
South West Nova,Adjacent to,UNESCO-MAB Biosphere Reserve,International,N/A,
Lower San Pedro River,Contains portions of,,,,IBA - other
Reserva Nacional Los Flamencos-Soncor,Adjacent to,,,,"IBA - VU, migratory birds/congregations"
Los Flamencos,Adjacent to,National Reserve,National,IV,
Bahía de Mejillones,Contains portions of,,,,"IBA - CR/EN, migratory birds/congregations"
Parque Nacional Salar del Huasco,Contains portions of,,,,"IBA - VU, migratory birds/congregations"
Llullaillaco,Contains portions of,National Park,National,II,
