,Deferred tax assets,Deferred tax assets,Deferred taxliabilities,Deferred taxliabilities,Charged/(credited) to the income statement,Charged/(credited) to the income statement,Charged/(credited) to the income statement
,2021,2020,2021,,2021,2020,2019
,US$M,,US$M,,,US$M,US$M
Type of temporary difference,,,,,,,
Depreciation(0(2),"(1,349)",(2.749),"4,716",2.828,488,1394,(951)
Exploration expenditure,51,398,-,-,347,51,43
Employee benefits,94,353,(333),(26),(68),(38),14
Closure and rehabitation,638,2.100,"(2,086)",(109),(515),(334),(53)
Resource rent tax,122,359,368,921,(309),（119）,（179)
Other provisions,108,173,(227),(239),77,(268),(2)
Deferred income,11,（4,(16),-,(31),33,（9）
Deferred charges,(36),(383),602,187,68,(132),56
"Investments,including foreign tax credits",147,348,671,458,414,（77）,70
Foreign exchange gains and losses,(3),(134),133,(61),63,（18）,(45)
Tax losses,"1,999",2.759,(82),-,678,（148),1.147
Lease liabiltyt(),68,548,(658),(245),67,（793),1
Other,62,(80),226,65,46,114,（10)
Total,"1,912","3,688","3,314","3,779","1,325",(335),81
