Year ended 30 June,Year ended 30 June,2021,2020,
Petroleum,Petroleum,,,
United States-Conventional Scope1,United States-Conventional Scope1,110,90,
Scope 2Financial control GHG total,Scope 2Financial control GHG total,。,0,
Scope 2Financial control GHG total,Scope 2Financial control GHG total,110,90,
Australia,Scope 115),170,250,
Australia,Scope 2,。,0,
Australia,Financial control GHG total,170,250,
Other,Scope1,160,80,
,Scope 2,。,10,
,Financialcontrol GHG total,160,90,
Total petroleum,Scope1,440,420,
,Scope2,。,10,
,Financial control GHG total,440,430,
Copper,,,,
"Escondida, Chile",Scope1,860,860,
Scope 2Financial control GHG total,Scope 2Financial control GHG total,Scope 2,Scope 2,
Scope 2Financial control GHG total,Scope 2Financial control GHG total,"2,850",2.890,
"Pampa Norte, Chile",Scope1,300,360,
"Pampa Norte, Chile",Scope 2,550,530,
"Pampa Norte, Chile",Financialcontrol GHG total,850,890,
"Olympic Dam, Australia",Scope 1,230,230,
,Scope 2,460,450,
,Financial controlGHG total,690,680,
Totalcopper Scope1 Scope 2Financial control GHG total,Totalcopper Scope1 Scope 2Financial control GHG total,Scope1,Scope1,
Totalcopper Scope1 Scope 2Financial control GHG total,Totalcopper Scope1 Scope 2Financial control GHG total,Scope 2,"3,000",3.010
Totalcopper Scope1 Scope 2Financial control GHG total,Totalcopper Scope1 Scope 2Financial control GHG total,"4,390",4.460,
Iron ore,Iron ore,,,
"Western Australia Iron Ore, Australia Scope1","Western Australia Iron Ore, Australia Scope1",1.940,1.930,1.930
Total iron ore,Scope 2,220,220,220
Total iron ore,Financial control GHG total,"2,160",2.150,2.150
Total iron ore,Scope1,"1,940",1930,1930
Total iron ore,Scope2,220,220,220
,Financialcontrol GHG total,"2,160",2.150,2.150
Coal,,,,
"Metallurgical coal- BMA, Queensland Coal, Australia",Scope1,"1,970",1.810,1.810
"Metallurgical coal- BMA, Queensland Coal, Australia",Scope 2,440,520,520
"Metallurgical coal- BMA, Queensland Coal, Australia",Financial control GHG total,"2,410",2.330,2.330
"Metallurgicalcoal- BMC,QueenslandCoal,Australia",Scope1,510,460,460
"Metallurgicalcoal- BMC,QueenslandCoal,Australia",Scope 2,60,80,80
"Metallurgicalcoal- BMC,QueenslandCoal,Australia",Financial control GHG total,570,540,540
"Energy coal- New South Wales Energy Coal, Australia",Scope1,550,530,530
"Energy coal- New South Wales Energy Coal, Australia",Scope 2,80,80,80
"Energy coal- New South Wales Energy Coal, Australia",Financial control GHG total,630,610,610
Totalcoal,Scope1,"3,030",2.800,2.800
Totalcoal,Scope2,580,680,680
Totalcoal,Financialcontrol GHG total,3.610,3.480,3.480
Nickel,Nickel,,,
"Nickel West, Australia",Scope1,530,510,510
"Nickel West, Australia",Scope 2,550,550,550
"Nickel West, Australia",Financial control GHG total,"1,080",1.060,1.060
Total nickel,Scope1,530,510,510
Total nickel,Scope2,550,550,550
Total nickel,Financialcontrol GHG total,"1,080",1060,1060
Non-operated assets(20),Scope1,"3,580",3.420,3.420
Non-operated assets(20),Scope 2,20,20,20
Non-operated assets(20),Financialcontrol GHG total,"3,600","3,440","3,440"
Total(16),Scope1,"10,940","10,560","10,560"
Total(16),Scope 2,"4,400",,
Total(16),Financial control GHG total,"15,340",4.520 15.080,4.520 15.080
Emissions from Discontinued operations,Scope1,。,。,。
Emissions from Discontinued operations,Scope 2,,,
Emissions from Discontinued operations,Financial control GHG total,。 。,0,0
Total (excluding Discontinuedoperations)(16)(7),Scope1,"10,940","0 10,560","0 10,560"
Total (excluding Discontinuedoperations)(16)(7),Scope 2,"4,400","4,520","4,520"
Total (excluding Discontinuedoperations)(16)(7),Financial control GHG total,"15,340","15,080","15,080"
