Revenue,"Total expenses, Other income and Loss from equity accounted investments",Profit from operations,"Depreciation, amortisation and impairments and Exceptional Items",Underlying EBITDA
Year ended 30 June 2020,Revenue,US$M,US$M,"US$M,US$M"
Revenue,42931,,,","
Other income,777,,,","
Expenses excluding net finance costs,28775,,,","
"Loss from equity accounted investments, related impairments and expenses",512,,,","
"Total other income, expenses excluding net finance costs and loss from equity accounted investments, related impairments and expenses",28510,,,","
Profit from operations,14421,,,","
"Depreciation, amortisation and impairments(1)",6606,,,","
"Exceptional item included in Depreciation, amortisation and impairments",409,,,","
Exceptional items,1453,,,","
Underlying EBITDA,Change in sales prices,17186,-221,"16965,"
Price-linked costs,-,870,-,"870,"
Net price impact,17186,-1091,16095,",16095"
Change in volumes,-371,59,-312,",312"
Operating cash costs,-,34,-,"34,"
Exploration and business development,-,109,-,"109,"
Change in controllable cash costs(2),-,75,-,"75,"
Exchange rates,104,-1692,-1588,",-1588"
Inflation on costs,-,286,-,"286,"
Fuel and energy,-,223,-,"223,"
Non-cash,-,282,-,"282,"
One-off items,-142,20,-122,",-122"
Change in other costs,-38,-1453,-1491,",-1491"
Asset sales,-,17,-,"17,"
Ceased and sold operations,-22,264,242,",242"
Other,1131,-449,682,",682"
"Depreciation, amortisation and impairments",-,891,-,"891,"
Exceptional items,-,2932,2932,",2932"
Year ended 30 June 2021,Revenue,60817,,","
Other income,510,,,","
Expenses excluding net finance costs,34500,,,","
"Loss from equity accounted investments, related impairments and expenses",921,,,","
"Total other income, expenses excluding net finance costs and loss from equity accounted investments, related impairments and expenses",34911,,,","
Profit from operations,25906,,,","
"Depreciation, amortisation and impairments(1)",9459,,,","
"Exceptional item included in Depreciation, amortisation and impairments",-2371,,,","
Exceptional items,4385,,,","
Underlying EBITDA,37379,,,","
