,2021,2020 US$M,20
Income tax effect of:,,,
Items that may be reclassified subsequentlyto theincome statement:,,,
Hedges:,,,
Gains/(losses)taken toequity,(259),94,98
(Gains)/losses transferred to the income statement,252,(89),（90）
Others,(),-,三
Incometax (charge)/credit relating to items that may be reclasified subsequently to the income statement,(8),5,8
Items that willnot be reclassified to the income statement:,,,
Remeasurement gains/(losses) on pension and medical schemes,(21),25,7
Others,1,1,12
Income tax (charge)/credit relating to items that will not be reclassified to the income statement,(20),26,19
Total income tax (charge)/credit relating to components of other comprehensive income(l),(28),31,27
