Year ended 30 June,2021,2020,2019,2018,2017
Consolidated Income Statement (section 3.1.1),,,,,
Revenue,"60,817","42,931","44,288","43,129","35,740"
Profit from operations,"25,906","14,421","16,113","15,996","12,554"
Profit after taxation from Continuing operations,"13,451","8,736","9,520","7,744","6,694"
Loss after taxation from Discontinued operations,,-,(335),"(2,921)",(472)
Profit after taxation from Continuing and Discontinued operations attributable to BHP shareholders (Attributable profit)(1),,"7,956","8,306","3,705","5,890"
Dividends per ordinary share – paid during the period (US cents),156.0,143.0,220.0,98.0,54.0
Dividends per ordinary share – determined in respect of the period (US cents),301.0,120.0,235.0,118.0,83.0
Basic earnings per ordinary share (US cents)(1)(2),223.5,157.3,160.3,69.6,110.7
Diluted earnings per ordinary share (US cents)(1)(2),223.0,157.0,159.9,69.4,110.4
Basic earnings from Continuing operations per ordinary share (US cents)(2),223.5,157.3,166.9,125.0,
Diluted earnings from Continuing operations per ordinary share (US cents)(2),223.0,157.0,166.5,124.6,
Number of ordinary shares (million),,,"5,058","5,058","5,324"
At period end,"5,058","5,058","5,058","5,324","5,324"
Weighted average,"5,057","5,057","5,180","5,323","5,323"
Diluted,"5,068","5,069","5,193","5,337","5,336"
Consolidated Balance Sheet (section 3.1.3)(3),,,,,
Total assets(4),"108,927","105,733","101,811","112,943","117,956"
Net assets(4),"55,605","52,175","51,753","60,599","62,655"
Share capital (including share premium),"2,686","2,686","2,686","2,761","2,761"
Total equity attributable to BHP shareholders(4),"51,264","47,865","47,169","55,521","57,187"
Consolidated Cash Flow Statement (section 3.1.4),,,,,
Net operating cash flows(5),"27,234","15,706","17,871","18,461","16,804"
Capital and exploration expenditure(6),"7,120","7,640","7,566","6,753","5,220"
Other financial information (section 4.2),,,,,
Net debt(7),"4,121","12,044","9,446","11,605","17,201"
Underlying attributable profit(7),"17,077","9,060","9,124","8,933","6,732"
Underlying EBITDA(7),"37,379","22,071","23,158","23,183","19,350"
Underlying EBIT(7),"30,291","15,874","17,065","16,562","13,190"
Underlying basic earnings per share (US cents)(7),337.7,179.2,176.1,167.8,126.5
Underlying Return on Capital Employed (per cent)(4)(7),32.5,16.9,16.0,14.2,9.8
